pmcid,pmid,source_category,eligibility_status,fulltext_eligible,retracted,is_manuscript,license_code,license_band,flags,eligibility_reason
PMC8071835,33106082,pmc-fulltext,eligible,yes,no,yes,TDM,tdm,author-manuscript,admissible; retrieval-time gates (currency/authority) apply
PMC8071839,33103615,pmc-fulltext,eligible,yes,no,yes,TDM,tdm,author-manuscript,admissible; retrieval-time gates (currency/authority) apply
PMC8075023,33904035,pmc-fulltext,manual-review,yes,no,no,,none,no-license,identifier/licence needs adjudication before release
PMC8079027,33899700,pmc-fulltext,eligible,yes,no,no,CC BY-NC,cc-restrictive,,admissible; retrieval-time gates (currency/authority) apply
PMC8079545,33115336,pmc-fulltext,eligible,yes,no,yes,TDM,tdm,author-manuscript,admissible; retrieval-time gates (currency/authority) apply
PMC8088446,33131283,pmc-fulltext,eligible,yes,no,yes,TDM,tdm,author-manuscript,admissible; retrieval-time gates (currency/authority) apply
PMC8096329,33910450,pmc-fulltext,eligible,yes,no,no,CC BY,open,,admissible; retrieval-time gates (currency/authority) apply
PMC8106977,32367736,pmc-fulltext,eligible,yes,no,yes,TDM,tdm,author-manuscript,admissible; retrieval-time gates (currency/authority) apply
PMC8174540,34085094,pmc-fulltext,manual-review,yes,no,no,,none,no-license,identifier/licence needs adjudication before release
PMC8175453,33274833,pmc-fulltext,eligible,yes,no,yes,TDM,tdm,author-manuscript,admissible; retrieval-time gates (currency/authority) apply
PMC8182348,34097124,pmc-fulltext,manual-review,yes,no,no,,none,no-license,identifier/licence needs adjudication before release
PMC8196233,34266752,pmc-fulltext,manual-review,yes,no,no,,none,no-license,identifier/licence needs adjudication before release
PMC8212388,33222510,pmc-fulltext,eligible,yes,no,yes,TDM,tdm,author-manuscript,admissible; retrieval-time gates (currency/authority) apply
PMC8216267,33587723,pmc-fulltext,eligible,yes,no,no,CC BY,open,,admissible; retrieval-time gates (currency/authority) apply
PMC8236064,33357171,pmc-fulltext,eligible,yes,no,yes,TDM,tdm,author-manuscript,admissible; retrieval-time gates (currency/authority) apply
PMC8237017,34043836,pmc-fulltext,eligible,yes,no,no,CC BY,open,,admissible; retrieval-time gates (currency/authority) apply
PMC8242436,33942510,pmc-fulltext,eligible,yes,no,no,CC BY,open,,admissible; retrieval-time gates (currency/authority) apply
PMC8243401,33377800,pmc-fulltext,eligible,yes,no,yes,TDM,tdm,author-manuscript,admissible; retrieval-time gates (currency/authority) apply
PMC8243641,34265624,pmc-fulltext,manual-review,yes,no,no,,none,no-license,identifier/licence needs adjudication before release
PMC8245097,34184614,pmc-fulltext,eligible,yes,no,no,CC BY-NC,cc-restrictive,,admissible; retrieval-time gates (currency/authority) apply
PMC8250614,33848360,pmc-fulltext,eligible,yes,no,yes,TDM,tdm,author-manuscript,admissible; retrieval-time gates (currency/authority) apply
PMC8253673,34216306,pmc-fulltext,manual-review,yes,no,no,,none,no-license,identifier/licence needs adjudication before release
PMC8253869,33388800,pmc-fulltext,eligible,yes,no,yes,TDM,tdm,author-manuscript,admissible; retrieval-time gates (currency/authority) apply
PMC8257760,33455858,pmc-fulltext,eligible,yes,no,yes,TDM,tdm,author-manuscript,admissible; retrieval-time gates (currency/authority) apply
PMC8258736,34230607,pmc-fulltext,manual-review,yes,no,no,,none,no-license,identifier/licence needs adjudication before release
PMC8260619,33411069,pmc-fulltext,eligible,yes,no,yes,TDM,tdm,author-manuscript,admissible; retrieval-time gates (currency/authority) apply
PMC8286271,33455605,pmc-fulltext,eligible,yes,no,yes,TDM,tdm,author-manuscript,admissible; retrieval-time gates (currency/authority) apply
PMC8302450,34292306,pmc-fulltext,eligible,yes,no,no,CC BY-NC-SA,cc-restrictive,,admissible; retrieval-time gates (currency/authority) apply
PMC8310894,33501651,pmc-fulltext,eligible,yes,no,yes,TDM,tdm,author-manuscript,admissible; retrieval-time gates (currency/authority) apply
PMC8315124,34327330,pmc-fulltext,eligible,yes,no,no,CC BY-NC,cc-restrictive,,admissible; retrieval-time gates (currency/authority) apply
PMC8315497,34318439,pmc-fulltext,manual-review,yes,no,no,,none,no-license,identifier/licence needs adjudication before release
PMC8316669,34294612,pmc-fulltext,eligible,yes,no,no,CC BY-NC,cc-restrictive,,admissible; retrieval-time gates (currency/authority) apply
PMC8318559,32811586,pmc-fulltext,eligible,yes,no,yes,CC BY,open,author-manuscript,admissible; retrieval-time gates (currency/authority) apply
PMC8319219,33509324,pmc-fulltext,eligible,yes,no,yes,TDM,tdm,author-manuscript,admissible; retrieval-time gates (currency/authority) apply
PMC8321433,34334333,pmc-fulltext,eligible,yes,no,no,CC BY,open,,admissible; retrieval-time gates (currency/authority) apply
PMC8324446,34331157,pmc-fulltext,manual-review,yes,no,no,,none,no-license,identifier/licence needs adjudication before release
PMC8326890,32643511,pmc-fulltext,eligible,yes,no,no,CC BY,open,,admissible; retrieval-time gates (currency/authority) apply
PMC8326891,32723128,pmc-fulltext,eligible,yes,no,no,CC BY-NC,cc-restrictive,,admissible; retrieval-time gates (currency/authority) apply
PMC8326892,32410488,pmc-fulltext,eligible,yes,no,no,CC BY-NC,cc-restrictive,,admissible; retrieval-time gates (currency/authority) apply
PMC8326902,32400259,pmc-fulltext,eligible,yes,no,no,CC BY-NC,cc-restrictive,,admissible; retrieval-time gates (currency/authority) apply
PMC8328792,33510068,pmc-fulltext,eligible,yes,no,no,CC BY-NC-SA,cc-restrictive,,admissible; retrieval-time gates (currency/authority) apply
PMC8329106,33530871,pmc-fulltext,eligible,yes,no,yes,TDM,tdm,author-manuscript,admissible; retrieval-time gates (currency/authority) apply
PMC8336786,32544592,pmc-fulltext,eligible,yes,no,no,CC BY,open,,admissible; retrieval-time gates (currency/authority) apply
PMC8338777,34052751,pmc-fulltext,eligible,yes,no,yes,CC BY-NC-ND,cc-restrictive,author-manuscript,admissible; retrieval-time gates (currency/authority) apply
PMC8338794,34091125,pmc-fulltext,eligible,yes,no,yes,TDM,tdm,author-manuscript,admissible; retrieval-time gates (currency/authority) apply
PMC8339133,33543638,pmc-fulltext,eligible,yes,no,yes,TDM,tdm,author-manuscript,admissible; retrieval-time gates (currency/authority) apply
PMC8342270,34377218,pmc-fulltext,eligible,yes,no,no,CC BY,open,,admissible; retrieval-time gates (currency/authority) apply
PMC8343328,33642368,pmc-fulltext,eligible,yes,no,no,CC BY-NC-SA,cc-restrictive,,admissible; retrieval-time gates (currency/authority) apply
PMC8343333,33642400,pmc-fulltext,eligible,yes,no,no,CC BY-NC-SA,cc-restrictive,,admissible; retrieval-time gates (currency/authority) apply
PMC8350145,34116150,pmc-fulltext,eligible,yes,no,no,CC BY,open,,admissible; retrieval-time gates (currency/authority) apply
PMC8350591,34401371,pmc-fulltext,eligible,yes,no,no,CC BY-NC-ND,cc-restrictive,,admissible; retrieval-time gates (currency/authority) apply
PMC8353002,33567942,pmc-fulltext,eligible,yes,no,yes,TDM,tdm,author-manuscript,admissible; retrieval-time gates (currency/authority) apply
PMC8354999,34170391,pmc-fulltext,eligible,yes,no,no,CC BY,open,,admissible; retrieval-time gates (currency/authority) apply
PMC8357050,34225472,pmc-fulltext,eligible,yes,no,no,CC BY,open,,admissible; retrieval-time gates (currency/authority) apply
PMC8357714,33723623,pmc-fulltext,eligible,yes,no,no,CC BY,open,,admissible; retrieval-time gates (currency/authority) apply
PMC8357729,33881757,pmc-fulltext,eligible,yes,no,no,CC BY,open,,admissible; retrieval-time gates (currency/authority) apply
PMC8358233,34401683,pmc-fulltext,eligible,yes,no,no,CC BY,open,,admissible; retrieval-time gates (currency/authority) apply
PMC8363380,33725398,pmc-fulltext,eligible,yes,no,no,CC BY,open,,admissible; retrieval-time gates (currency/authority) apply
PMC8366492,34401939,pmc-fulltext,manual-review,yes,no,no,,none,no-license,identifier/licence needs adjudication before release
PMC8369866,34403027,pmc-fulltext,manual-review,yes,no,no,,none,opinion;no-license,identifier/licence needs adjudication before release
PMC8370037,34139358,pmc-fulltext,eligible,yes,no,yes,CC BY-NC-ND,cc-restrictive,author-manuscript,admissible; retrieval-time gates (currency/authority) apply
PMC8371062,33599811,pmc-fulltext,eligible,yes,no,yes,TDM,tdm,author-manuscript,admissible; retrieval-time gates (currency/authority) apply
PMC8371714,34397745,pmc-fulltext,eligible,yes,no,yes,TDM,tdm,author-manuscript,admissible; retrieval-time gates (currency/authority) apply
PMC8373772,34153464,pmc-fulltext,eligible,yes,no,yes,TDM,tdm,author-manuscript,admissible; retrieval-time gates (currency/authority) apply
PMC8373788,34325072,pmc-fulltext,eligible,yes,no,yes,TDM,tdm,author-manuscript,admissible; retrieval-time gates (currency/authority) apply
PMC8376653,34242595,pmc-fulltext,eligible,yes,no,no,CC BY,open,,admissible; retrieval-time gates (currency/authority) apply
PMC8380745,33618617,pmc-fulltext,eligible,yes,no,yes,TDM,tdm,author-manuscript,admissible; retrieval-time gates (currency/authority) apply
PMC8383157,34424272,pmc-fulltext,manual-review,yes,no,yes,TDM,tdm,author-manuscript;license-disagreement,identifier/licence needs adjudication before release
PMC8392777,32406251,pmc-fulltext,eligible,yes,no,no,CC BY-NC,cc-restrictive,,admissible; retrieval-time gates (currency/authority) apply
PMC8397623,33616797,pmc-fulltext,eligible,yes,no,no,CC BY,open,,admissible; retrieval-time gates (currency/authority) apply
PMC8397686,33660199,pmc-fulltext,eligible,yes,no,no,CC BY,open,,admissible; retrieval-time gates (currency/authority) apply
PMC8403636,34289113,pmc-fulltext,eligible,yes,no,no,CC BY-NC-ND,cc-restrictive,,admissible; retrieval-time gates (currency/authority) apply
PMC8403643,34285392,pmc-fulltext,eligible,yes,no,yes,TDM,tdm,author-manuscript,admissible; retrieval-time gates (currency/authority) apply
PMC8405579,34274879,pmc-fulltext,eligible,yes,no,yes,TDM,tdm,author-manuscript,admissible; retrieval-time gates (currency/authority) apply
PMC8406735,34461899,pmc-fulltext,eligible,yes,no,no,CC BY,open,,admissible; retrieval-time gates (currency/authority) apply
PMC8406782,34461995,pmc-fulltext,eligible,yes,no,no,CC BY,open,,admissible; retrieval-time gates (currency/authority) apply
PMC8406896,34465370,pmc-fulltext,eligible,yes,no,no,CC BY,open,,admissible; retrieval-time gates (currency/authority) apply
PMC8407434,34118395,pmc-fulltext,eligible,yes,no,yes,CC BY-NC-ND,cc-restrictive,author-manuscript,admissible; retrieval-time gates (currency/authority) apply
PMC8407879,34527415,pmc-fulltext,eligible,yes,no,no,CC BY,open,,admissible; retrieval-time gates (currency/authority) apply
PMC8408221,34465723,pmc-fulltext,eligible,yes,no,no,CC BY,open,,admissible; retrieval-time gates (currency/authority) apply
PMC8408510,34210822,pmc-fulltext,eligible,yes,no,no,CC BY,open,,admissible; retrieval-time gates (currency/authority) apply
PMC8408933,34465358,pmc-fulltext,eligible,yes,no,no,CC BY,open,,admissible; retrieval-time gates (currency/authority) apply
PMC8409004,34465384,pmc-fulltext,eligible,yes,no,no,CC BY,open,,admissible; retrieval-time gates (currency/authority) apply
PMC8409087,34485677,pmc-fulltext,eligible,yes,no,no,CC BY-NC-ND,cc-restrictive,,admissible; retrieval-time gates (currency/authority) apply
PMC8410005,33506862,pmc-fulltext,eligible,yes,no,no,CC BY,open,,admissible; retrieval-time gates (currency/authority) apply
PMC8410559,34213081,pmc-fulltext,eligible,yes,no,no,CC BY-NC-ND,cc-restrictive,,admissible; retrieval-time gates (currency/authority) apply
PMC8410720,33620643,pmc-fulltext,eligible,yes,no,no,CC BY,open,,admissible; retrieval-time gates (currency/authority) apply
PMC8413294,34475445,pmc-fulltext,eligible,yes,no,no,CC BY,open,,admissible; retrieval-time gates (currency/authority) apply
PMC8413392,33655681,pmc-fulltext,eligible,yes,no,yes,TDM,tdm,author-manuscript,admissible; retrieval-time gates (currency/authority) apply
PMC8413399,33656999,pmc-fulltext,eligible,yes,no,yes,TDM,tdm,author-manuscript,admissible; retrieval-time gates (currency/authority) apply
PMC8413472,34475154,pmc-fulltext,eligible,yes,no,no,CC BY-NC,cc-restrictive,,admissible; retrieval-time gates (currency/authority) apply
PMC8414685,34479502,pmc-fulltext,eligible,yes,no,no,CC BY,open,,admissible; retrieval-time gates (currency/authority) apply
PMC8416000,34477136,pmc-fulltext,eligible,yes,no,no,CC BY,open,,admissible; retrieval-time gates (currency/authority) apply
PMC8416781,34021943,pmc-fulltext,eligible,yes,no,no,CC BY,open,,admissible; retrieval-time gates (currency/authority) apply
PMC8417145,33660533,pmc-fulltext,eligible,yes,no,yes,TDM,tdm,author-manuscript,admissible; retrieval-time gates (currency/authority) apply
PMC8417194,34477988,pmc-fulltext,eligible,yes,no,no,CC BY,open,,admissible; retrieval-time gates (currency/authority) apply
PMC8418020,34479648,pmc-fulltext,eligible,yes,no,no,CC BY,open,,admissible; retrieval-time gates (currency/authority) apply
PMC8418104,34479635,pmc-fulltext,eligible,yes,no,no,CC BY,open,,admissible; retrieval-time gates (currency/authority) apply
PMC8418341,33693528,pmc-fulltext,eligible,yes,no,no,CC BY,open,,admissible; retrieval-time gates (currency/authority) apply
PMC8418474,34342379,pmc-fulltext,eligible,yes,no,no,CC BY-NC-ND,cc-restrictive,,admissible; retrieval-time gates (currency/authority) apply
PMC8418668,34504943,pmc-fulltext,eligible,yes,no,no,CC BY-NC-ND,cc-restrictive,,admissible; retrieval-time gates (currency/authority) apply
PMC8419397,34342183,pmc-fulltext,eligible,yes,no,no,CC BY-NC-ND,cc-restrictive,,admissible; retrieval-time gates (currency/authority) apply
PMC8419981,34488838,pmc-fulltext,eligible,yes,no,no,CC BY,open,,admissible; retrieval-time gates (currency/authority) apply
PMC8420012,34488722,pmc-fulltext,eligible,yes,no,no,CC BY,open,,admissible; retrieval-time gates (currency/authority) apply
PMC8420022,34488832,pmc-fulltext,eligible,yes,no,no,CC BY,open,,admissible; retrieval-time gates (currency/authority) apply
PMC8421692,34704027,pmc-fulltext,eligible,yes,no,no,CC BY,open,,admissible; retrieval-time gates (currency/authority) apply
PMC8422723,34488875,pmc-fulltext,eligible,yes,no,no,CC BY,open,,admissible; retrieval-time gates (currency/authority) apply
PMC8422748,34488882,pmc-fulltext,eligible,yes,no,no,CC BY,open,,admissible; retrieval-time gates (currency/authority) apply
PMC8422750,34488653,pmc-fulltext,eligible,yes,no,no,CC BY,open,,admissible; retrieval-time gates (currency/authority) apply
PMC8422756,34488866,pmc-fulltext,eligible,yes,no,no,CC BY,open,,admissible; retrieval-time gates (currency/authority) apply
PMC8423259,34492068,pmc-fulltext,eligible,yes,no,no,CC BY,open,,admissible; retrieval-time gates (currency/authority) apply
PMC8423537,34504627,pmc-fulltext,eligible,yes,no,no,CC BY,open,,admissible; retrieval-time gates (currency/authority) apply
PMC8423553,34504897,pmc-fulltext,eligible,yes,yes,no,CC BY,open,retracted,admissible; retrieval-time gates (currency/authority) apply
PMC8424080,34514362,pmc-fulltext,eligible,yes,no,no,CC BY-NC-ND,cc-restrictive,,admissible; retrieval-time gates (currency/authority) apply
PMC8424411,34496940,pmc-fulltext,eligible,yes,no,no,CC BY,open,,admissible; retrieval-time gates (currency/authority) apply
PMC8424489,34497091,pmc-fulltext,eligible,yes,no,no,CC BY-NC,cc-restrictive,,admissible; retrieval-time gates (currency/authority) apply
PMC8424529,34491268,pmc-fulltext,eligible,yes,no,no,CC BY,open,,admissible; retrieval-time gates (currency/authority) apply
PMC8425600,34473669,pmc-fulltext,eligible,yes,no,yes,TDM,tdm,author-manuscript,admissible; retrieval-time gates (currency/authority) apply
PMC8425603,34473671,pmc-fulltext,eligible,yes,no,yes,TDM,tdm,author-manuscript,admissible; retrieval-time gates (currency/authority) apply
PMC8426054,34512767,pmc-fulltext,eligible,yes,no,no,CC BY,open,,admissible; retrieval-time gates (currency/authority) apply
PMC8426413,33687064,pmc-fulltext,eligible,yes,no,yes,TDM,tdm,author-manuscript,admissible; retrieval-time gates (currency/authority) apply
PMC8428049,34503576,pmc-fulltext,eligible,yes,no,no,CC BY,open,,admissible; retrieval-time gates (currency/authority) apply
PMC8428060,34496966,pmc-fulltext,eligible,yes,no,no,CC BY,open,,admissible; retrieval-time gates (currency/authority) apply
PMC8429010,34512760,pmc-fulltext,eligible,yes,no,no,CC BY,open,,admissible; retrieval-time gates (currency/authority) apply
PMC8429015,34513992,pmc-fulltext,eligible,yes,no,no,CC BY,open,,admissible; retrieval-time gates (currency/authority) apply
PMC8429218,34364094,pmc-fulltext,eligible,yes,no,yes,TDM,tdm,author-manuscript,admissible; retrieval-time gates (currency/authority) apply
PMC8429385,33507487,pmc-fulltext,eligible,yes,no,no,CC BY,open,,admissible; retrieval-time gates (currency/authority) apply
PMC8429388,33538990,pmc-fulltext,eligible,yes,no,no,CC BY,open,,admissible; retrieval-time gates (currency/authority) apply
PMC8429397,33280069,pmc-fulltext,eligible,yes,no,no,CC BY,open,,admissible; retrieval-time gates (currency/authority) apply
PMC8429427,34504080,pmc-fulltext,eligible,yes,no,no,CC BY,open,,admissible; retrieval-time gates (currency/authority) apply
PMC8429736,34504195,pmc-fulltext,eligible,yes,no,no,CC BY,open,,admissible; retrieval-time gates (currency/authority) apply
PMC8431613,34501812,pmc-fulltext,eligible,yes,no,no,CC BY,open,,admissible; retrieval-time gates (currency/authority) apply
PMC8434425,34314781,pmc-fulltext,eligible,yes,no,no,CC BY,open,,admissible; retrieval-time gates (currency/authority) apply
PMC8434483,34500703,pmc-fulltext,eligible,yes,no,no,CC BY,open,,admissible; retrieval-time gates (currency/authority) apply
PMC8434725,34507553,pmc-fulltext,eligible,yes,no,no,CC BY,open,,admissible; retrieval-time gates (currency/authority) apply
PMC8434994,34322904,pmc-fulltext,eligible,yes,no,no,CC BY-NC,cc-restrictive,opinion,admissible; retrieval-time gates (currency/authority) apply
PMC8435574,34526897,pmc-fulltext,eligible,yes,no,no,CC BY,open,,admissible; retrieval-time gates (currency/authority) apply
PMC8435601,34526957,pmc-fulltext,eligible,yes,no,no,CC BY,open,,admissible; retrieval-time gates (currency/authority) apply
PMC8435828,33908296,pmc-fulltext,eligible,yes,no,no,CC BY,open,,admissible; retrieval-time gates (currency/authority) apply
PMC8435851,34526958,pmc-fulltext,eligible,yes,no,no,CC BY,open,,admissible; retrieval-time gates (currency/authority) apply
PMC8435856,34526879,pmc-fulltext,eligible,yes,no,no,CC BY,open,,admissible; retrieval-time gates (currency/authority) apply
PMC8435891,34526888,pmc-fulltext,eligible,yes,no,no,CC BY,open,,admissible; retrieval-time gates (currency/authority) apply
PMC8436464,34511118,pmc-fulltext,eligible,yes,no,no,CC BY,open,,admissible; retrieval-time gates (currency/authority) apply
PMC8436468,34517833,pmc-fulltext,eligible,yes,no,no,CC BY,open,,admissible; retrieval-time gates (currency/authority) apply
PMC8436532,34517828,pmc-fulltext,eligible,yes,no,no,CC BY,open,,admissible; retrieval-time gates (currency/authority) apply
PMC8436545,34511121,pmc-fulltext,eligible,yes,no,no,CC BY,open,,admissible; retrieval-time gates (currency/authority) apply
PMC8436865,34517889,pmc-fulltext,eligible,yes,no,no,CC BY,open,,admissible; retrieval-time gates (currency/authority) apply
PMC8436914,34461609,pmc-fulltext,eligible,yes,no,no,CC BY,open,,admissible; retrieval-time gates (currency/authority) apply
PMC8437063,33765116,pmc-fulltext,eligible,yes,no,no,CC BY-NC,cc-restrictive,,admissible; retrieval-time gates (currency/authority) apply
PMC8437075,33945608,pmc-fulltext,eligible,yes,no,no,CC BY,open,,admissible; retrieval-time gates (currency/authority) apply
PMC8437077,34120175,pmc-fulltext,eligible,yes,no,no,CC BY-NC,cc-restrictive,,admissible; retrieval-time gates (currency/authority) apply
PMC8437105,33214467,pmc-fulltext,eligible,yes,no,yes,TDM,tdm,author-manuscript,admissible; retrieval-time gates (currency/authority) apply
PMC8437510,32525977,pmc-fulltext,eligible,yes,no,no,CC BY-NC,cc-restrictive,,admissible; retrieval-time gates (currency/authority) apply
PMC8437908,34235588,pmc-fulltext,eligible,yes,no,no,CC BY,open,,admissible; retrieval-time gates (currency/authority) apply
PMC8438013,34518582,pmc-fulltext,eligible,yes,no,no,CC BY,open,,admissible; retrieval-time gates (currency/authority) apply
PMC8438166,34531769,pmc-fulltext,eligible,yes,no,no,CC BY,open,,admissible; retrieval-time gates (currency/authority) apply
PMC8438290,34273798,pmc-fulltext,eligible,yes,no,no,CC BY,open,,admissible; retrieval-time gates (currency/authority) apply
PMC8438680,34541284,pmc-fulltext,eligible,yes,no,no,CC BY-NC-ND,cc-restrictive,,admissible; retrieval-time gates (currency/authority) apply
