pmcid,pmid,canonical_date,canonical_date_precision,canonical_date_type,date_source,recovered_month,recovered_month_source,split_june_2024
PMC8257760,33455858,2021-09,month,,pubmed,,,pre
PMC8258736,34230607,2021-10,month,,pubmed,,,pre
PMC8260619,33411069,2021-10,month,,pubmed,,,pre
PMC8286271,33455605,2022-03,month,,pubmed,,,pre
PMC8302450,34292306,2021-09-06,day,,pubmed,,,pre
PMC8310894,33501651,2022-06,month,,pubmed,,,pre
PMC8315124,34327330,2021-09,month,,pubmed,,,pre
PMC8315497,34318439,2021-09,month,,pubmed,,,pre
PMC8316669,34294612,2021-08-31,day,,pubmed,,,pre
PMC8318559,32811586,2022-02,month,,pubmed,,,pre
PMC8319219,33509324,2021-10,month,,pubmed,,,pre
PMC8321433,34334333,2021-09,month,,pubmed,,,pre
PMC8324446,34331157,2022-03,month,,pubmed,,,pre
PMC8326890,32643511,2021-09,month,,pubmed,,,pre
PMC8326891,32723128,2021-09,month,,pubmed,,,pre
PMC8326892,32410488,2021-09,month,,pubmed,,,pre
PMC8326902,32400259,2021-09,month,,pubmed,,,pre
PMC8328792,33510068,2021-09,month,,pubmed,,,pre
PMC8329106,33530871,2022-07,month,,pubmed,,,pre
PMC8336786,32544592,2021-09,month,,pubmed,,,pre
PMC8338777,34052751,2021-09,month,,pubmed,,,pre
PMC8338794,34091125,2021-09,month,,pubmed,,,pre
PMC8339133,33543638,2022-06,month,,pubmed,,,pre
PMC8342270,34377218,2021-09,month,,pubmed,,,pre
PMC8343328,33642368,2021-10,month,,pubmed,,,pre
PMC8343333,33642400,2021-10,month,,pubmed,,,pre
PMC8350145,34116150,2021-09,month,,pubmed,,,pre
PMC8350591,34401371,2021-09,month,,pubmed,,,pre
PMC8353002,33567942,2022-01,month,,pubmed,,,pre
PMC8354999,34170391,2021-09,month,,pubmed,,,pre
PMC8357050,34225472,2021-09,month,,pubmed,,,pre
PMC8357714,33723623,2021-09,month,,pubmed,,,pre
PMC8357729,33881757,2021-09,month,,pubmed,,,pre
PMC8358233,34401683,2021-09,month,,pubmed,,,pre
PMC8363380,33725398,2021-09,month,,pubmed,,,pre
PMC8366492,34401939,2021-10,month,,pubmed,,,pre
PMC8369866,34403027,2021-12,month,,pubmed,,,pre
PMC8370037,34139358,2021-10-01,day,,pubmed,,,pre
PMC8371062,33599811,2021-09,month,,pubmed,,,pre
PMC8371714,34397745,2021-09-01,day,,pubmed,,,pre
PMC8373772,34153464,2021-09,month,,pubmed,,,pre
PMC8373788,34325072,2021-09,month,,pubmed,,,pre
PMC8376653,34242595,2021-09,month,,pubmed,,,pre
PMC8380745,33618617,2022-01,month,,pubmed,,,pre
PMC8383157,34424272,2021-10-01,day,,pubmed,,,pre
PMC8392777,32406251,2021-09,month,,pubmed,,,pre
PMC8397623,33616797,2021-09,month,,pubmed,,,pre
PMC8397686,33660199,2021-09,month,,pubmed,,,pre
PMC8403636,34289113,2021-09,month,,pubmed,,,pre
PMC8403643,34285392,2021-09,month,,pubmed,,,pre
PMC8405579,34274879,2021-09-15,day,,pubmed,,,pre
PMC8406735,34461899,2021-08-31,day,,pubmed,,,pre
PMC8406782,34461995,2021-08-30,day,,pubmed,,,pre
PMC8406896,34465370,2021-08-31,day,,pubmed,,,pre
PMC8407434,34118395,2021-09,month,,pubmed,,,pre
PMC8407879,34527415,2021-09,month,,pubmed,,,pre
PMC8408221,34465723,2021-08-31,day,,pubmed,,,pre
PMC8408510,34210822,2021-08-31,day,,pubmed,,,pre
PMC8408933,34465358,2021-08-31,day,,pubmed,,,pre
PMC8409004,34465384,2021-08-31,day,,pubmed,,,pre
PMC8409087,34485677,2021,year,,pubmed,,,pre
PMC8410005,33506862,2021-09-01,day,,pubmed,,,pre
PMC8410559,34213081,2021-10-01,day,,pubmed,,,pre
PMC8410720,33620643,2021-10,month,,pubmed,,,pre
PMC8413294,34475445,2021-09-02,day,,pubmed,,,pre
PMC8413392,33655681,2021-09,month,,pubmed,,,pre
PMC8413399,33656999,2022-08,month,,pubmed,,,pre
PMC8413472,34475154,2021-09-02,day,,pubmed,,,pre
PMC8414685,34479502,2021-09-03,day,,pubmed,,,pre
PMC8416000,34477136,2021-09-03,day,,pubmed,,,pre
PMC8416781,34021943,2021-09,month,,pubmed,,,pre
PMC8417145,33660533,2021-11,month,,pubmed,,,pre
PMC8417194,34477988,2021-09-03,day,,pubmed,,,pre
PMC8418020,34479648,2021-09-03,day,,pubmed,,,pre
PMC8418104,34479635,2021-09-03,day,,pubmed,,,pre
PMC8418341,33693528,2021-09-04,day,,pubmed,,,pre
PMC8418474,34342379,2021-09,month,,pubmed,,,pre
PMC8418668,34504943,2021,year,,pubmed,,,pre
PMC8419397,34342183,2021-09,month,,pubmed,,,pre
PMC8419981,34488838,2021-09-06,day,,pubmed,,,pre
PMC8420012,34488722,2021-09-06,day,,pubmed,,,pre
PMC8420022,34488832,2021-09-06,day,,pubmed,,,pre
PMC8421692,34704027,2021,year,,pubmed,,,pre
PMC8422723,34488875,2021-09-06,day,,pubmed,,,pre
PMC8422748,34488882,2021-09-06,day,,pubmed,,,pre
PMC8422750,34488653,2021-09-06,day,,pubmed,,,pre
PMC8422756,34488866,2021-09-06,day,,pubmed,,,pre
PMC8423259,34492068,2021,year,,pubmed,,,pre
PMC8423537,34504627,2021,year,,pubmed,,,pre
PMC8423553,34504897,2021,year,,pubmed,,,pre
PMC8424080,34514362,2021-10,month,,pubmed,,,pre
PMC8424411,34496940,2021-09-08,day,,pubmed,,,pre
PMC8424489,34497091,2021-09-08,day,,pubmed,,,pre
PMC8424529,34491268,2021-11-01,day,,pubmed,,,pre
PMC8425600,34473669,2021-09-02,day,,pubmed,,,pre
PMC8425603,34473671,2021-09-02,day,,pubmed,,,pre
PMC8426054,34512767,2021,year,,pubmed,,,pre
PMC8426413,33687064,2022-06,month,,pubmed,,,pre
PMC8428049,34503576,2021-09-09,day,,pubmed,,,pre
PMC8428060,34496966,2021-09-09,day,,pubmed,,,pre
PMC8429010,34512760,2021,year,,pubmed,,,pre
PMC8429015,34513992,2021,year,,pubmed,,,pre
PMC8429218,34364094,2021-09,month,,pubmed,,,pre
PMC8429385,33507487,2021-09,month,,pubmed,,,pre
PMC8429388,33538990,2021-09,month,,pubmed,,,pre
PMC8429397,33280069,2021-09,month,,pubmed,,,pre
PMC8429427,34504080,2021-09-09,day,,pubmed,,,pre
PMC8429736,34504195,2021-09-09,day,,pubmed,,,pre
PMC8431613,34501812,2021-09-01,day,,pubmed,,,pre
PMC8434425,34314781,2021-09-17,day,,pubmed,,,pre
PMC8434483,34500703,2021-08-30,day,,pubmed,,,pre
PMC8434725,34507553,2021-09-10,day,,pubmed,,,pre
PMC8434994,34322904,2021-09,month,,pubmed,,,pre
PMC8435574,34526897,2021,year,,pubmed,,,pre
PMC8435601,34526957,2021,year,,pubmed,,,pre
PMC8435828,33908296,2021-09,month,,pubmed,,,pre
PMC8435851,34526958,2021,year,,pubmed,,,pre
PMC8435856,34526879,2021,year,,pubmed,,,pre
PMC8435891,34526888,2021,year,,pubmed,,,pre
PMC8436464,34511118,2021-09-12,day,,pubmed,,,pre
PMC8436468,34517833,2021-09-13,day,,pubmed,,,pre
PMC8436532,34517828,2021-09-13,day,,pubmed,,,pre
PMC8436545,34511121,2021-09-12,day,,pubmed,,,pre
PMC8436865,34517889,2021-09-13,day,,pubmed,,,pre
PMC8436914,34461609,2021-08-30,day,,pubmed,,,pre
PMC8437063,33765116,2021-09-11,day,,pubmed,,,pre
PMC8437075,33945608,2021-09-11,day,,pubmed,,,pre
PMC8437077,34120175,2021-09-11,day,,pubmed,,,pre
PMC8437105,33214467,2022-11-01,day,,pubmed,,,pre
PMC8437510,32525977,2021-09-13,day,,pubmed,,,pre
PMC8437908,34235588,2021-10,month,,pubmed,,,pre
PMC8438013,34518582,2021-09-13,day,,pubmed,,,pre
PMC8438166,34531769,2021,year,,pubmed,,,pre
PMC8438290,34273798,2021-09,month,,pubmed,,,pre
PMC8438680,34541284,2021,year,,pubmed,,,pre
PMC8438681,34541286,2021,year,,pubmed,,,pre
PMC8438686,34539848,2021-11,month,,pubmed,,,pre
PMC8438688,34541285,2021,year,,pubmed,,,pre
PMC8439141,34541290,2021,year,,pubmed,,,pre
PMC8439142,34541292,2021,year,,pubmed,,,pre
PMC8439252,34531737,2021,year,,pubmed,,,pre
PMC8439959,34532568,2021-10,month,,pubmed,,,pre
PMC8440097,34532504,2021,year,,pubmed,,,pre
PMC8440348,34009667,2021-09,month,,pubmed,,,pre
PMC8440389,34008208,2021-09,month,,pubmed,,,pre
PMC8440391,34224775,2021-09,month,,pubmed,,,pre
PMC8440496,33985348,2021-09-01,day,,pubmed,,,pre
PMC8441033,34525960,2021-09-15,day,,pubmed,,,pre
PMC8441912,34541022,2021-10,month,,pubmed,,,pre
PMC8442237,34043816,2021-10,month,,pubmed,,,pre
PMC8442311,34525979,2021-09-15,day,,pubmed,,,pre
PMC8442418,34526019,2021-09-15,day,,pubmed,,,pre
PMC8443059,34525105,2021,year,,pubmed,,,pre
PMC8443115,34526034,2021-09-15,day,,pubmed,,,pre
PMC8443448,34358472,2021-10,month,,pubmed,,,pre
PMC8443673,34526539,2021-09-15,day,,pubmed,,,pre
PMC8444237,34526343,2021-09-15,day,,pubmed,,,pre
PMC8444498,34530925,2021-09-16,day,,pubmed,,,pre
PMC8444618,34526114,2021-09-15,day,,pubmed,,,pre
PMC8445922,34531462,2021-09-16,day,,pubmed,,,pre
PMC8446215,34347358,2021-10,month,,pubmed,,,pre
PMC8446277,34539558,2021,year,,pubmed,,,pre
PMC8446403,34390226,2021-09,month,,pubmed,,,pre
PMC8446666,34539385,2021,year,,pubmed,,,pre
PMC8447187,34464084,2021-09-15,day,,pubmed,,,pre
PMC8448021,34664858,2021-09-17,day,,pubmed,,,pre
PMC8448551,34210823,2021-09-07,day,,pubmed,,,pre
PMC8448552,34266918,2021-09-07,day,,pubmed,,,pre
PMC8448556,34404743,2021-09-07,day,,pubmed,,,pre
PMC8448871,34535721,2021-09-17,day,,pubmed,,,pre
PMC8448974,34193384,2021-10,month,,pubmed,,,pre
PMC8449085,34534764,2021-09,month,,pubmed,,,pre
PMC8449101,34291850,2021-10-15,day,,pubmed,,,pre
PMC8449227,34568539,2021,year,,pubmed,,,pre
PMC8449400,34493657,2021-09-14,day,,pubmed,,,pre
PMC8449785,34537810,2021-09-18,day,,pubmed,,,pre
PMC8449811,34288013,2021-10,month,,pubmed,,,pre
PMC8449815,34229088,2021-11,month,,pubmed,,,pre
PMC8449888,34536149,2021-09-18,day,,pubmed,,,pre
PMC8449891,34536989,2021-09-18,day,,pubmed,,,pre
PMC8449908,34537040,2021-09-18,day,,pubmed,,,pre
PMC8450301,33749369,2022-02,month,,pubmed,,,pre
PMC8450322,34552551,2021,year,,pubmed,,,pre
PMC8450374,34552500,2021,year,,pubmed,,,pre
PMC8450418,34552900,2021,year,,pubmed,,,pre
PMC8450529,34552552,2021,year,,pubmed,,,pre
PMC8450964,34535480,2021-09-17,day,,pubmed,,,pre
PMC8451031,34584937,2021,year,,pubmed,,,pre
PMC8451393,34557567,2021-09-15,day,,pubmed,,,pre
PMC8451412,34552545,2021,year,,pubmed,,,pre
PMC8451553,34100451,2022-01,month,,pubmed,,,pre
PMC8451750,33724517,2021-09,month,,pubmed,,,pre
PMC8452826,34548101,2021-09-21,day,,pubmed,,,pre
PMC8452879,34557141,2021,year,,pubmed,,,pre
PMC8452983,34557143,2021,year,,pubmed,,,pre
PMC8453044,33998068,2021-09,month,,pubmed,,,pre
PMC8453053,34252707,2021-09,month,,pubmed,,,pre
PMC8453060,34273551,2021-09,month,,pubmed,,,pre
PMC8453134,34274691,2021-10,month,,pubmed,,,pre
PMC8453354,34542571,2021-11-01,day,,pubmed,,,pre
PMC8453387,33742656,2021-09-04,day,,pubmed,,,pre
PMC8453801,33939228,2021-09,month,,pubmed,,,pre
PMC8454285,34119639,2021-09,month,,pubmed,,,pre
PMC8454976,34547018,2021,year,,pubmed,,,pre
PMC8455062,34557083,2021,year,,pubmed,,,pre
PMC8455185,34557257,2021,year,,pubmed,,,pre
PMC8455448,34224153,2021-09,month,,pubmed,,,pre
PMC8455703,33749570,2022-01,month,,pubmed,,,pre
PMC8455713,33745492,2022-03,month,,pubmed,,,pre
PMC8456168,34566621,2021,year,,pubmed,,,pre
PMC8456191,34551725,2021-09-22,day,,pubmed,,,pre
PMC8456220,34337898,2021-09,month,,pubmed,,,pre
PMC8456688,34566550,2022-09,month,,pubmed,,,pre
PMC8457031,34551783,2021-09-22,day,,pubmed,,,pre
PMC8457091,34060706,2021-09,month,,pubmed,,,pre
PMC8457333,34566624,2021,year,,pubmed,,,pre
PMC8457592,34499614,2021-09-09,day,,pubmed,,,pre
PMC8457606,34506303,2021-09-10,day,,pubmed,,,pre
PMC8457611,34479211,2021-09-03,day,,pubmed,,,pre
PMC8457613,34495870,2021-09-07,day,,pubmed,,,pre
PMC8458219,34308814,2021-09,month,,pubmed,,,pre
PMC8458250,33930191,2021-09,month,,pubmed,,,pre
PMC8458502,34552125,2021-09-22,day,,pubmed,,,pre
PMC8458963,34566600,2021,year,,pubmed,,,pre
PMC8459116,34588891,2021-10,month,,pubmed,,,pre
PMC8459785,34616886,2021,year,,pubmed,,,pre
PMC8459869,34566608,2021,year,,pubmed,,,pre
PMC8459906,34566573,2021,year,,pubmed,,,pre
PMC8460534,34019111,2021-10,month,,pubmed,,,pre
PMC8460624,34556757,2021-09-23,day,,pubmed,,,pre
PMC8460688,33760348,2021-10,month,,pubmed,,,pre
PMC8460886,34703453,2021,year,,pubmed,,,pre
PMC8460955,34703454,2021,year,,pubmed,,,pre
PMC8461082,34284259,2021-10,month,,pubmed,,,pre
PMC8461250,34566615,2021,year,,pubmed,,,pre
PMC8461312,34566623,2021,year,,pubmed,,,pre
PMC8462636,34559128,2021-09-24,day,,pubmed,,,pre
PMC8462642,34559097,2021-09-24,day,,pubmed,,,pre
PMC8462905,34559561,2021-09-24,day,,pubmed,,,pre
PMC8462981,34224846,2021-09,month,,pubmed,,,pre
PMC8463453,34589688,2021-09,month,,pubmed,,,pre
PMC8463943,34559230,2021-09-01,day,,pubmed,,,pre
PMC8463963,34603783,2021-11,month,,pubmed,,,pre
PMC8464095,34560903,2021-09-24,day,,pubmed,,,pre
PMC8464124,34560904,2021-09-24,day,,pubmed,,,pre
PMC8464629,33771087,2022-10,month,,pubmed,,,pre
PMC8464890,34573219,2021-09-11,day,,pubmed,,,pre
PMC8465123,34573177,2021-08-31,day,,pubmed,,,pre
PMC8465337,34577590,2021-09-01,day,,pubmed,,,pre
PMC8465712,34574523,2021-09-12,day,,pubmed,,,pre
PMC8466211,34572457,2021-09-20,day,,pubmed,,,pre
PMC8466467,34577866,2021-09-07,day,,pubmed,,,pre
PMC8466601,34576912,2021-09-07,day,,pubmed,,,pre
PMC8466762,34575679,2021-09-09,day,,pubmed,,,pre
PMC8466995,34563258,2021-09-25,day,,pubmed,,,pre
PMC8467145,34563212,2021-09-25,day,,pubmed,,,pre
PMC8467163,34563135,2021-09-25,day,,pubmed,,,pre
PMC8467201,34575321,2021-09-17,day,,pubmed,,,pre
PMC8467636,34574524,2021-09-12,day,,pubmed,,,pre
PMC8468661,34572029,2021-09-10,day,,pubmed,,,pre
PMC8469036,34574934,2021-09-04,day,,pubmed,,,pre
PMC8469325,34577877,2021-09-10,day,,pubmed,,,pre
PMC8469578,34571993,2021-09-07,day,,pubmed,,,pre
PMC8469939,34574519,2021-09-12,day,,pubmed,,,pre
PMC8470343,34564432,2021-09-10,day,,pubmed,,,pre
PMC8470731,34575083,2021-09-08,day,,pubmed,,,pre
PMC8471075,34576314,2021-09-21,day,,pubmed,,,pre
PMC8471085,34573242,2021-09-16,day,,pubmed,,,pre
PMC8471626,34572510,2021-08-31,day,,pubmed,,,pre
PMC8472213,34573176,2021-08-31,day,,pubmed,,,pre
PMC8472755,34573232,2021-09-14,day,,pubmed,,,pre
PMC8472805,34573186,2021-08-31,day,,pubmed,,,pre
PMC8473237,34577423,2021-09-16,day,,pubmed,,,pre
PMC8473826,34589052,2021,year,,pubmed,,,pre
PMC8473862,34500505,2021-09,month,,pubmed,,,pre
PMC8473887,34589009,2021,year,,pubmed,,,pre
PMC8474122,34604500,2021,year,,pubmed,,,pre
PMC8475136,34561261,2021-09-24,day,,pubmed,,,pre
PMC8475270,34589083,2021,year,,pubmed,,,pre
PMC8475501,33507791,2022-01,month,,pubmed,,,pre
PMC8476497,34580300,2021-09-27,day,,pubmed,,,pre
PMC8477662,34594255,2021,year,,pubmed,,,pre
PMC8478243,34582484,2021,year,,pubmed,,,pre
PMC8478697,33797838,2021-09,month,,pubmed,,,pre
PMC8478746,34506009,2021-10,month,,pubmed,,,pre
PMC8478868,34253130,2021-09,month,,pubmed,,,pre
PMC8478934,34584092,2021-09-28,day,,pubmed,,,pre
PMC8478964,34646712,2021-09,month,,pubmed,,,pre
PMC8479251,34622190,2021-12,month,,pubmed,,,pre
PMC8479814,34588168,2021-09-29,day,,pubmed,,,pre
PMC8480074,34583745,2021-09-28,day,,pubmed,,,pre
PMC8480405,34413181,2021-09-28,day,,pubmed,,,pre
PMC8480470,34603009,2021,year,,pubmed,,,pre
PMC8480485,34266917,2021-09-20,day,,pubmed,,,pre
PMC8480609,34587159,2021,year,,pubmed,,,pre
PMC8481044,34603436,2021,year,,pubmed,,,pre
PMC8481505,34588422,2021-09-29,day,,pubmed,,,pre
PMC8481830,34603323,2021,year,,pubmed,,,pre
PMC8481947,34603007,2021,year,,pubmed,,,pre
PMC8482262,34562992,2021-09-16,day,,pubmed,,,pre
PMC8482991,34604764,2021-09,month,,pubmed,,,pre
PMC8483026,34588264,2021-09-29,day,,pubmed,,,pre
PMC8483186,34288291,2021-10,month,,pubmed,,,pre
PMC8483200,34289214,2021-10,month,,pubmed,,,pre
PMC8483849,34596133,2021-10-01,day,,pubmed,,,pre
PMC8484138,34021393,2021-11,month,,pubmed,,,pre
PMC8484165,33598773,2021-10,month,,pubmed,,,pre
PMC8484363,33793069,2021-10,month,,pubmed,,,pre
PMC8484554,34593890,2021-09-30,day,,pubmed,,,pre
PMC8484907,34603103,2021,year,,pubmed,,,pre
PMC8486078,34597351,2021,year,,pubmed,,,pre
PMC8487363,34608385,2021,year,,pubmed,,,pre
PMC8487495,34600472,2021-10-02,day,,pubmed,,,pre
PMC8487567,34600495,2021-10-02,day,,pubmed,,,pre
PMC8487840,34616484,2021,year,,pubmed,,,pre
PMC8487995,34378867,2021-10,month,,pubmed,,,pre
PMC8488088,34616290,2021,year,,pubmed,,,pre
PMC8488098,34616322,2021,year,,pubmed,,,pre
PMC8488111,34616321,2021,year,,pubmed,,,pre
PMC8488208,34616287,2021,year,,pubmed,,,pre
PMC8488259,34616282,2021,year,,pubmed,,,pre
PMC8489046,34607584,2021-10-04,day,,pubmed,,,pre
PMC8489058,34602087,2021-10-03,day,,pubmed,,,pre
PMC8489077,34602080,2021-10-03,day,,pubmed,,,pre
PMC8490375,34608199,2021-10-04,day,,pubmed,,,pre
PMC8490784,34617016,2021,year,,pubmed,,,pre
PMC8490792,34609090,2021-10-04,day,,pubmed,,,pre
PMC8491457,34609083,2021-10,month,,pubmed,,,pre
PMC8491945,34610047,2021,year,,pubmed,,,pre
PMC8492573,34453269,2021-11,month,,pubmed,,,pre
PMC8492689,34489558,2021-09,month,,pubmed,,,pre
PMC8492970,34630008,2021,year,,pubmed,,,pre
PMC8493243,34630020,2021,year,,pubmed,,,pre
PMC8493247,34630068,2021,year,,pubmed,,,pre
PMC8493431,34609493,2021-10-01,day,,pubmed,,,pre
PMC8493439,34609497,2021-10-01,day,,pubmed,,,pre
PMC8493684,34615471,2021-10-06,day,,pubmed,,,pre
PMC8493902,34610995,2021-10,month,,pubmed,,,pre
PMC8494149,34659987,2021-09,month,,pubmed,,,pre
PMC8494599,34630627,2021,year,,pubmed,,,pre
PMC8494841,34615922,2021-10-06,day,,pubmed,,,pre
PMC8495209,34631645,2021,year,,pubmed,,,pre
PMC8495563,34630674,2021-11,month,,pubmed,,,pre
PMC8495566,34550082,2021-09-22,day,,pubmed,,,pre
PMC8495629,34630017,2021,year,,pubmed,,,pre
PMC8495912,34620151,2021-10-07,day,,pubmed,,,pre
PMC8496799,34555025,2021-09,month,,pubmed,,,pre
PMC8497880,34630298,2021,year,,pubmed,,,pre
PMC8497883,34630030,2021,year,,pubmed,,,pre
PMC8498203,34630070,2021,year,,pubmed,,,pre
PMC8498578,34630060,2021,year,,pubmed,,,pre
PMC8499018,33829622,2021-10,month,,pubmed,,,pre
PMC8500089,34619763,2021-12-31,day,,pubmed,,,pre
PMC8500870,33095320,2021-10,month,,pubmed,,,pre
PMC8500888,33638111,2021-10,month,,pubmed,,,pre
PMC8500899,33646514,2021-10,month,,pubmed,,,pre
PMC8500948,34464593,2021-10-07,day,,pubmed,,,pre
PMC8501137,34625614,2021-10-08,day,,pubmed,,,pre
PMC8501596,34627332,2021-10-09,day,,pubmed,,,pre
PMC8501759,34647014,2021,year,,pubmed,,,pre
PMC8502259,34627191,2021-10-09,day,,pubmed,,,pre
PMC8502282,34627371,2021-10-09,day,,pubmed,,,pre
PMC8502362,34627361,2021-10-09,day,,pubmed,,,pre
PMC8502375,34627232,2021-10-09,day,,pubmed,,,pre
PMC8502419,34627204,2021-10-09,day,,pubmed,,,pre
PMC8503617,34646114,2021,year,,pubmed,,,pre
PMC8503990,34635089,2021-10-11,day,,pubmed,,,pre
PMC8504078,34629089,2021-10-10,day,,pubmed,,,pre
PMC8504358,34625411,2021-10-08,day,,pubmed,,,pre
PMC8504369,34380901,2022-03,month,,pubmed,,,pre
PMC8504375,34380883,2022-03,month,,pubmed,,,pre
PMC8504398,34380898,2022-03,month,,pubmed,,,pre
PMC8504518,34387022,2021-11,month,,pubmed,,,pre
PMC8504820,33742772,2021-09,month,,pubmed,,,pre
PMC8504833,33934508,2021-09,month,,pubmed,,,pre
PMC8504906,33783982,2021-10,month,,pubmed,,,pre
PMC8505090,34646334,2021,year,,pubmed,,,pre
PMC8505418,34635772,2021-10-11,day,,pubmed,,,pre
PMC8505434,34635674,2021-10-11,day,,pubmed,,,pre
PMC8505483,34635668,2021-10-11,day,,pubmed,,,pre
PMC8505492,34188184,2021-11,month,,pubmed,,,pre
PMC8506354,32317043,2021-10,month,pub,jats:pub,,,pre
PMC8506760,34734009,2021-09,month,,pubmed,,,pre
PMC8507169,34641803,2021-10-12,day,,pubmed,,,pre
PMC8507171,34635169,2021-10-11,day,,pubmed,,,pre
PMC8507172,34635138,2021-10-11,day,,pubmed,,,pre
PMC8507202,34635167,2021-10-11,day,,pubmed,,,pre
PMC8507228,34641791,2021-10-12,day,,pubmed,,,pre
PMC8507368,34635173,2021-10-11,day,,pubmed,,,pre
PMC8508350,34639513,2021-09-28,day,,pubmed,,,pre
PMC8508459,34639442,2021-09-27,day,,pubmed,,,pre
PMC8509134,34639229,2021-10-08,day,,pubmed,,,pre
PMC8509246,34639135,2021-10-06,day,,pubmed,,,pre
PMC8509365,34640600,2021-10-03,day,,pubmed,,,pre
PMC8509428,34639113,2021-10-05,day,,pubmed,,,pre
