pmcid,pmid,in_pmc_oa_dataset,is_pmc_openaccess,license_code,is_manuscript,is_historical_ocr,is_retracted,version,pmid_from_pmc,doi_from_pmc,title_from_pmc,has_xml,has_pdf,has_text,media_count,xml_url,pdf_url,text_url,checked_at_utc
PMC8392777,32406251,yes,yes,CC BY-NC,no,no,no,1,32406251,10.1177/1073191120915273,Questioning the Meaning of a Change on the Alzheimer’s Disease Assessment Scale–Cognitive Subscale (ADAS-Cog): Noncomparable Scores and Item-Specific Effects Over Time,yes,yes,yes,13,s3://pmc-oa-opendata/PMC8392777.1/PMC8392777.1.xml?md5=1752e68944e399567e19a846ed3b1eea,s3://pmc-oa-opendata/PMC8392777.1/PMC8392777.1.pdf?md5=33c9cd769d9da9a47a71105028b9a12f,s3://pmc-oa-opendata/PMC8392777.1/PMC8392777.1.txt?md5=ec80cb8e02125abfbcc922362860b2ec,2026-08-31T09:35:12+00:00
PMC8326892,32410488,yes,yes,CC BY-NC,no,no,no,1,32410488,10.1177/0891988720924716,"Multidimensional Apathy in Behavioral Variant Frontotemporal Dementia, Primary Progressive Aphasia, and Alzheimer Disease",yes,yes,yes,5,s3://pmc-oa-opendata/PMC8326892.1/PMC8326892.1.xml?md5=bfcd61cada72644c74bb5c2f57b519c7,s3://pmc-oa-opendata/PMC8326892.1/PMC8326892.1.pdf?md5=c0fa1d8b65553d77a64e0c944f192cad,s3://pmc-oa-opendata/PMC8326892.1/PMC8326892.1.txt?md5=830c000266651942ce7ef22283975a50,2026-08-31T09:35:14+00:00
PMC8640365,32476636,yes,yes,CC BY,no,no,no,1,32476636,10.1017/S0033291720001567,Dealing with heterogeneity of cognitive dysfunction in acute depression: a clustering approach,yes,yes,yes,6,s3://pmc-oa-opendata/PMC8640365.1/PMC8640365.1.xml?md5=c5ba4e734a8922696503ba38432cdaeb,s3://pmc-oa-opendata/PMC8640365.1/PMC8640365.1.pdf?md5=aa590a7b37ff443eed77faf7b3ea2499,s3://pmc-oa-opendata/PMC8640365.1/PMC8640365.1.txt?md5=1fa4163c4460857836921b91d388dbaf,2026-08-31T09:35:16+00:00
PMC9277678,32508326,yes,yes,CC BY-NC,no,no,no,1,32508326,10.3233/JAD-200385,Oral Health Status in Subjects with Amnestic Mild Cognitive Impairment and Alzheimer’s Disease: Data from the Zabút Aging Project,yes,yes,yes,1,s3://pmc-oa-opendata/PMC9277678.1/PMC9277678.1.xml?md5=6896cb61733131741c372f786e3d2f3b,s3://pmc-oa-opendata/PMC9277678.1/PMC9277678.1.pdf?md5=a90c16a3a8e8215100beb374bb42ccbf,s3://pmc-oa-opendata/PMC9277678.1/PMC9277678.1.txt?md5=43f7796dd0b9c605d75a32bd57dd674b,2026-08-31T09:35:18+00:00
PMC7748409,32515603,yes,no,TDM,yes,no,no,1,32515603,10.1080/13607863.2020.1771541,Caregiver “objective attitude” toward patients with neurodegenerative disease: Consequences for caregiver strain and relationship closeness,yes,no,yes,0,s3://pmc-oa-opendata/PMC7748409.1/PMC7748409.1.xml?md5=410993e0decf6a8248b8c1133b8ee0b7,,s3://pmc-oa-opendata/PMC7748409.1/PMC7748409.1.txt?md5=3f117beab7a76c61f44931a84cf67a3f,2026-08-31T09:35:19+00:00
PMC8437510,32525977,yes,yes,CC BY-NC,no,no,no,1,32525977,10.1093/geront/gnaa065,The Effectiveness of e-Health Solutions for Aging With Cognitive Impairment: A Systematic Review,yes,yes,yes,3,s3://pmc-oa-opendata/PMC8437510.1/PMC8437510.1.xml?md5=3e3a8bcdd156df56e6ac092d5b85ab89,s3://pmc-oa-opendata/PMC8437510.1/PMC8437510.1.pdf?md5=3d134518fbb5dd803e34d2a0f6abaa76,s3://pmc-oa-opendata/PMC8437510.1/PMC8437510.1.txt?md5=25b3e0d4b7db18f7f1309d3e84442c20,2026-08-31T09:35:21+00:00
PMC8336786,32544592,yes,yes,CC BY,no,no,no,1,32544592,10.1016/j.ymeth.2020.06.007,Amyloid-β oligomerization monitored by single-molecule stepwise photobleaching,yes,no,yes,14,s3://pmc-oa-opendata/PMC8336786.1/PMC8336786.1.xml?md5=4028e9b8f574b9aea3cabf09e1b90ed4,,s3://pmc-oa-opendata/PMC8336786.1/PMC8336786.1.txt?md5=e599aa036c17eeac42522d0989b47e2a,2026-08-31T09:35:23+00:00
PMC8758475,32581318,yes,yes,CC BY,no,no,no,1,32581318,10.1038/s41380-020-0817-2,"Amyloid, tau, and astrocyte pathology in autosomal-dominant Alzheimer’s disease variants: AβPParc and PSEN1DE9",yes,yes,yes,9,s3://pmc-oa-opendata/PMC8758475.1/PMC8758475.1.xml?md5=06b52c30401eeaa90beff4a5c6c63aee,s3://pmc-oa-opendata/PMC8758475.1/PMC8758475.1.pdf?md5=8b43b99f8201ae04a7a5018acd919136,s3://pmc-oa-opendata/PMC8758475.1/PMC8758475.1.txt?md5=c8e8ca6fbccfceea538f4b7e13141a9c,2026-08-31T09:35:24+00:00
PMC8758474,32591633,yes,yes,CC BY,no,no,no,1,32591633,10.1038/s41380-020-0818-1,Amyloid-beta modulates the association between neurofilament light chain and brain atrophy in Alzheimer’s disease,yes,yes,yes,24,s3://pmc-oa-opendata/PMC8758474.1/PMC8758474.1.xml?md5=0864afbbdcb998945ba2167d0d4d9c16,s3://pmc-oa-opendata/PMC8758474.1/PMC8758474.1.pdf?md5=c9bdf560f7ca93af3224891afdb6c794,s3://pmc-oa-opendata/PMC8758474.1/PMC8758474.1.txt?md5=a7b7ac32e14b99468dd06265391c9c0b,2026-08-31T09:35:26+00:00
PMC7765738,32594886,yes,no,TDM,yes,no,no,1,32594886,10.1080/13854046.2020.1781933,Practice effects in Mild Cognitive Impairment: A validation of Calamia et al. (2012),yes,no,yes,0,s3://pmc-oa-opendata/PMC7765738.1/PMC7765738.1.xml?md5=c8548e12d1067738b9cfd980537fc428,,s3://pmc-oa-opendata/PMC7765738.1/PMC7765738.1.txt?md5=d9d50ce880a8e89246aaeb0bda01d3e0,2026-08-31T09:35:28+00:00
PMC7775330,32608300,yes,no,TDM,yes,no,no,1,32608300,10.1177/0733464820934683,Effectiveness of “Reducing Disability in Alzheimer’s Disease” among dyads with moderate dementia,yes,no,yes,0,s3://pmc-oa-opendata/PMC7775330.1/PMC7775330.1.xml?md5=9a006eef8f6ffdc9302e2566824aa692,,s3://pmc-oa-opendata/PMC7775330.1/PMC7775330.1.txt?md5=1683ab6145170fe6f4bfefe221ad13eb,2026-08-31T09:35:30+00:00
PMC8758479,32616831,yes,yes,CC BY,no,no,no,1,32616831,10.1038/s41380-020-0815-4,[18F]THK5317 imaging as a tool for predicting prospective cognitive decline in Alzheimer’s disease,yes,yes,yes,6,s3://pmc-oa-opendata/PMC8758479.1/PMC8758479.1.xml?md5=cef36e6e56ab4aaf84f13f89f997848f,s3://pmc-oa-opendata/PMC8758479.1/PMC8758479.1.pdf?md5=a8f498095f1a6504585f4c0cf53d980f,s3://pmc-oa-opendata/PMC8758479.1/PMC8758479.1.txt?md5=c8f94f08d46301bf28f06daf07f4ebea,2026-08-31T09:35:32+00:00
PMC7785685,32632205,yes,yes,CC BY,no,no,no,2,32632205,10.1038/s41380-020-0824-3,MicroRNA-195 rescues ApoE4-induced cognitive deficits and lysosomal defects in Alzheimer’s disease pathogenesis,yes,yes,yes,15,s3://pmc-oa-opendata/PMC7785685.2/PMC7785685.2.xml?md5=9097547fd7f75f056bd59b6087aa9fa9,s3://pmc-oa-opendata/PMC7785685.2/PMC7785685.2.pdf?md5=cd1a3b725a4e7e9bb1fe78de8ab8fe53,s3://pmc-oa-opendata/PMC7785685.2/PMC7785685.2.txt?md5=88a36e8cabbb901546eceaf6b187001f,2026-08-31T09:35:33+00:00
PMC7794099,32641180,yes,no,TDM,yes,no,no,1,32641180,10.1017/S1041610220001143,Genome-wide screen to identify genetic loci associated with cognitive decline in late-life depression,yes,no,yes,0,s3://pmc-oa-opendata/PMC7794099.1/PMC7794099.1.xml?md5=2008217d802cc4a16720dd1c1c63ca4d,,s3://pmc-oa-opendata/PMC7794099.1/PMC7794099.1.txt?md5=81fbc42c1a2098e88d79392bde9eb58d,2026-08-31T09:35:35+00:00
PMC8326890,32643511,yes,yes,CC BY,no,no,no,1,32643511,10.1177/0891988720933348,Quality of Life Assessments in Individuals With Young-Onset Dementia and Their Caregivers,yes,yes,yes,5,s3://pmc-oa-opendata/PMC8326890.1/PMC8326890.1.xml?md5=1ff9f21c7658e1172c14a901f382c42f,s3://pmc-oa-opendata/PMC8326890.1/PMC8326890.1.pdf?md5=0a92bd8cfa105e6c73bb6b45c8e85f5e,s3://pmc-oa-opendata/PMC8326890.1/PMC8326890.1.txt?md5=d5763cb90d43b3edd09d0a9c3803ed56,2026-08-31T09:35:37+00:00
PMC7855081,32721906,yes,no,TDM,yes,no,no,1,32721906,10.1109/TCYB.2020.3005859,Attention-Guided Hybrid Network for Dementia Diagnosis With Structural MR Images,yes,no,yes,0,s3://pmc-oa-opendata/PMC7855081.1/PMC7855081.1.xml?md5=a37ffb8c6ce22162737b95db17b1667f,,s3://pmc-oa-opendata/PMC7855081.1/PMC7855081.1.txt?md5=a254dde4b9b968ed52f33ca4ba5d0e8e,2026-08-31T09:35:38+00:00
PMC8326891,32723128,yes,yes,CC BY-NC,no,no,no,1,32723128,10.1177/0891988720933358,Using Automatic Assessment of Speech Production to Predict Current and Future Cognitive Function in Older Adults,yes,yes,yes,6,s3://pmc-oa-opendata/PMC8326891.1/PMC8326891.1.xml?md5=2f66a0cfb944c423df363c9850909630,s3://pmc-oa-opendata/PMC8326891.1/PMC8326891.1.pdf?md5=a7821fd1c3837ef98601a806db029451,s3://pmc-oa-opendata/PMC8326891.1/PMC8326891.1.txt?md5=38346afeefa214fd4be2d3b2b3e876e2,2026-08-31T09:35:40+00:00
PMC9047926,32723787,no,,,,,,,,,,,,,,,,,2026-08-31T09:35:41+00:00
PMC7867665,32763848,yes,no,TDM,yes,no,no,1,32763848,10.1109/TPAMI.2020.3013433,Performing Group Difference Testing on Graph Structured Data from GANs: Analysis and Applications in Neuroimaging,yes,no,yes,0,s3://pmc-oa-opendata/PMC7867665.1/PMC7867665.1.xml?md5=cc0c72f4aa34351c70cab30c62be543f,,s3://pmc-oa-opendata/PMC7867665.1/PMC7867665.1.txt?md5=fd4b740e7e64b8d9740247508f3a59cc,2026-08-31T09:35:43+00:00
PMC8318559,32811586,yes,yes,CC BY,yes,no,no,1,32811586,10.1017/S1092852920001765,Dementia-related psychosis and the potential role for pimavanserin,yes,yes,yes,2,s3://pmc-oa-opendata/PMC8318559.1/PMC8318559.1.xml?md5=bdda8d9248467ad28c1d66f28ef892d8,s3://pmc-oa-opendata/PMC8318559.1/PMC8318559.1.pdf?md5=800f55b97908b3f594e05ec59f372190,s3://pmc-oa-opendata/PMC8318559.1/PMC8318559.1.txt?md5=a5dc0bafc0370e476016878d0ddb8ce8,2026-08-31T09:35:44+00:00
PMC7909751,32819188,yes,no,TDM,yes,no,no,1,32819188,10.1080/13854046.2020.1807058,Validation of one-year reliable change in the RBANS for community-dwelling older adults with amnestic Mild Cognitive Impairment,yes,no,yes,0,s3://pmc-oa-opendata/PMC7909751.1/PMC7909751.1.xml?md5=8e03f5c3102a83b2af7d693331832acb,,s3://pmc-oa-opendata/PMC7909751.1/PMC7909751.1.txt?md5=8cb34c8096c9ecdd3bda82cb39481381,2026-08-31T09:35:46+00:00
PMC7925698,32883179,yes,no,TDM,yes,no,no,1,32883179,10.1080/13854046.2020.1812724,"Recognition subtests for the Repeatable Battery for the Assessment of Neuropsychological Status: Preliminary data in cognitively intact older adults, amnestic Mild Cognitive Impairment, and Alzheimer’s disease",yes,no,yes,0,s3://pmc-oa-opendata/PMC7925698.1/PMC7925698.1.xml?md5=831858525e85d5140c9a984850aa71e4,,s3://pmc-oa-opendata/PMC7925698.1/PMC7925698.1.txt?md5=f160c2b725a4488ad4bd34c194a0cbc8,2026-08-31T09:35:48+00:00
PMC7940454,32901518,yes,no,TDM,yes,no,no,1,32901518,10.1080/13825585.2020.1817306,Assessing Within-Task Verbal Fluency Performance: The Utility of Individual Time Intervals in Predicting Incident Mild Cognitive Impairment,yes,no,yes,0,s3://pmc-oa-opendata/PMC7940454.1/PMC7940454.1.xml?md5=54008618307690180c9c17ad8000b704,,s3://pmc-oa-opendata/PMC7940454.1/PMC7940454.1.txt?md5=b155c1e4890f17ffad995dfcad240037,2026-08-31T09:35:49+00:00
PMC9108559,32925068,yes,yes,CC BY-NC,no,no,no,1,32925068,10.3233/JAD-200739,Psychometric Properties of the Neuropsychiatric Inventory: A Review,yes,yes,yes,2,s3://pmc-oa-opendata/PMC9108559.1/PMC9108559.1.xml?md5=da613f188b520366409bc7f4aa504a3a,s3://pmc-oa-opendata/PMC9108559.1/PMC9108559.1.pdf?md5=ecd0cf7fd9027d1a18543e16075e8d2c,s3://pmc-oa-opendata/PMC9108559.1/PMC9108559.1.txt?md5=86e576792e8f5d651085ed28af0aee60,2026-08-31T09:35:51+00:00
PMC9308456,32948880,no,,,,,,,,,,,,,,,,,2026-08-31T09:35:52+00:00
PMC8600584,32964799,yes,yes,CC BY,no,no,no,1,32964799,10.1177/0891988720957105,Effectiveness of App-Based Cognitive Screening for Dementia by Lay Health Workers in Low Resource Settings. A Validation and Feasibility Study in Rural Tanzania,yes,yes,yes,8,s3://pmc-oa-opendata/PMC8600584.1/PMC8600584.1.xml?md5=5fc42b6457038cf21d319a71932fcab5,s3://pmc-oa-opendata/PMC8600584.1/PMC8600584.1.pdf?md5=7f09fea9906ac3493c8adf07b580e002,s3://pmc-oa-opendata/PMC8600584.1/PMC8600584.1.txt?md5=ee5e8306e2a197371116c2c4fbc8fb73,2026-08-31T09:35:54+00:00
PMC8958640,32976020,yes,yes,CC BY-NC,no,no,no,1,32976020,10.1177/0091415020957388,The Development and Validation of the Threat of Dementia Scale,yes,yes,yes,3,s3://pmc-oa-opendata/PMC8958640.1/PMC8958640.1.xml?md5=0053638bfa4e13a5c4bcb26bcb2285fa,s3://pmc-oa-opendata/PMC8958640.1/PMC8958640.1.pdf?md5=dbd8123aadb8a260e17ca005d89e6f0e,s3://pmc-oa-opendata/PMC8958640.1/PMC8958640.1.txt?md5=e125f2ac9ef6a3f437367e328f065820,2026-08-31T09:35:56+00:00
PMC11441179,32997211,no,,,,,,,,,,,,,,,,,2026-08-31T09:35:56+00:00
PMC8581834,33078687,yes,no,TDM,yes,no,no,1,33078687,10.1080/02701960.2020.1835658,Dementia 360 ECHO: Using Technology to Facilitate Diagnosis and Treatment,yes,no,yes,0,s3://pmc-oa-opendata/PMC8581834.1/PMC8581834.1.xml?md5=a98121c15774944e3b5e014fb3f49baf,,s3://pmc-oa-opendata/PMC8581834.1/PMC8581834.1.txt?md5=d724cf2af8edc2c57ac4f53e811ed677,2026-08-31T09:35:58+00:00
PMC8062578,33095080,yes,no,TDM,yes,no,no,1,33095080,10.1177/0733464820967202,Association between Informant-reported Sleep Disturbance and Incident Dementia: An Analysis of the National Alzheimer’s Coordinating Center Uniform Data Set,yes,no,yes,0,s3://pmc-oa-opendata/PMC8062578.1/PMC8062578.1.xml?md5=9895d8ee1c44175efb40bc2551941cc7,,s3://pmc-oa-opendata/PMC8062578.1/PMC8062578.1.txt?md5=e933c8eda7fec4db455e8178d6633c10,2026-08-31T09:36:00+00:00
PMC8500870,33095320,yes,yes,CC BY,no,no,no,1,33095320,10.1007/s00508-020-01755-1,"Individual cognitive changes in subjective cognitive decline, mild cognitive impairment and Alzheimer’s disease using the reliable change index methodology",yes,yes,yes,0,s3://pmc-oa-opendata/PMC8500870.1/PMC8500870.1.xml?md5=b61e3908f0f2875b7ddca61b044c3ad5,s3://pmc-oa-opendata/PMC8500870.1/PMC8500870.1.pdf?md5=477f9a3ec9acc0d1fc8073fc4e605105,s3://pmc-oa-opendata/PMC8500870.1/PMC8500870.1.txt?md5=cb263df9515d504bfa69ecc41bf6556c,2026-08-31T09:36:02+00:00
PMC8071832,33100109,yes,no,TDM,yes,no,no,1,33100109,10.1177/0733464820967594,Alzheimer’s Disease Screening Tools for Asian Americans: A Scoping Review,yes,no,yes,0,s3://pmc-oa-opendata/PMC8071832.1/PMC8071832.1.xml?md5=300b6167ddccd44398c341128815511e,,s3://pmc-oa-opendata/PMC8071832.1/PMC8071832.1.txt?md5=50599aac9e4f57e0271ff86b59d52fe7,2026-08-31T09:36:03+00:00
PMC8071839,33103615,yes,no,TDM,yes,no,no,1,33103615,10.1080/13854046.2020.1837246,The Ecological Validity of The Uniform Data Set 3.0 Neuropsychological Battery in Individuals with Mild Cognitive Impairment and Dementia,yes,no,yes,0,s3://pmc-oa-opendata/PMC8071839.1/PMC8071839.1.xml?md5=fec6c2bda91bdd5a5bb11953782c1af7,,s3://pmc-oa-opendata/PMC8071839.1/PMC8071839.1.txt?md5=938ebe4cd90b9c688e01440a628d5215,2026-08-31T09:36:05+00:00
PMC8071835,33106082,yes,no,TDM,yes,no,no,1,33106082,10.1080/09602011.2020.1831552,Retrospective Metamemory Monitoring of Semantic Memory in Community-Dwelling Older Adults with Subjective Cognitive Decline and Mild Cognitive Impairment,yes,no,yes,0,s3://pmc-oa-opendata/PMC8071835.1/PMC8071835.1.xml?md5=32d034524a62574c68bc87432ae7b117,,s3://pmc-oa-opendata/PMC8071835.1/PMC8071835.1.txt?md5=00a7b2f1b8913176fc33ddffb5f21bf1,2026-08-31T09:36:07+00:00
PMC8079545,33115336,yes,no,TDM,yes,no,no,1,33115336,10.1080/09602011.2020.1835676,Eyetracking During Picture Naming Predicts Future Vocabulary Dropout in Progressive Anomia,yes,no,yes,0,s3://pmc-oa-opendata/PMC8079545.1/PMC8079545.1.xml?md5=f0154d7dfeb9c6f81ca7e47f45a19ac8,,s3://pmc-oa-opendata/PMC8079545.1/PMC8079545.1.txt?md5=f585761835ecd6f2e7fc9c91eb6d071c,2026-08-31T09:36:09+00:00
PMC7956907,33127308,yes,no,TDM,yes,no,no,1,33127308,10.1016/j.acra.2020.07.039,Bilateral Distance Partition of Periventricular and Deep White Matter Hyperintensities: Performance of the Method in the Aging Brain,yes,no,yes,0,s3://pmc-oa-opendata/PMC7956907.1/PMC7956907.1.xml?md5=88f22f62e151f698f05d1d62d1af0920,,s3://pmc-oa-opendata/PMC7956907.1/PMC7956907.1.txt?md5=e8ab76a4660b1e2aa0ebbad289eabf8e,2026-08-31T09:36:10+00:00
PMC8088446,33131283,yes,no,TDM,yes,no,no,1,33131283,10.1080/13607863.2020.1839866,Association between having a family member with dementia and perceptions of dementia preventability,yes,no,yes,0,s3://pmc-oa-opendata/PMC8088446.1/PMC8088446.1.xml?md5=f27d43c9bfd554e459a5e195866b9d9d,,s3://pmc-oa-opendata/PMC8088446.1/PMC8088446.1.txt?md5=d832a02256a852436244ace1b7ac8054,2026-08-31T09:36:12+00:00
PMC8963154,33146727,no,,,,,,,,,,,,,,,,,2026-08-31T09:36:13+00:00
PMC8436704,33152080,no,,,,,,,,,,,,,,,,,2026-08-31T09:36:14+00:00
PMC8437105,33214467,yes,no,TDM,yes,no,no,1,33214467,10.1097/SLA.0000000000004632,Alzheimer’s Dementia after Exposure to Anesthesia and Surgery in the Elderly: A Matched Natural Experiment using Appendicitis,yes,no,yes,0,s3://pmc-oa-opendata/PMC8437105.1/PMC8437105.1.xml?md5=99e11f2d2d04cfdc81bafe2a860dcb9d,,s3://pmc-oa-opendata/PMC8437105.1/PMC8437105.1.txt?md5=d3f0100888c7fd523b238a60a0859773,2026-08-31T09:36:15+00:00
PMC8212388,33222510,yes,no,TDM,yes,no,no,1,33222510,10.1080/13607863.2020.1849025,Comparison of behaviors characteristic of autism spectrum disorder behaviors and behavioral and psychiatric symptoms of dementia,yes,no,yes,0,s3://pmc-oa-opendata/PMC8212388.1/PMC8212388.1.xml?md5=be3bcd313b7a1b34d3614697b0cef32e,,s3://pmc-oa-opendata/PMC8212388.1/PMC8212388.1.txt?md5=4d1405f6e3ae60307f22d7d17b7f2943,2026-08-31T09:36:18+00:00
PMC9199971,33250472,yes,yes,CC BY-NC-ND,no,no,no,1,33250472,10.2463/mrms.rev.2020-0122,The Glymphatic System: A Review of the Challenges in Visualizing its Structure and Function with MR Imaging,yes,yes,yes,4,s3://pmc-oa-opendata/PMC9199971.1/PMC9199971.1.xml?md5=1e6c2551e203510084a7d3dbe8a74df6,s3://pmc-oa-opendata/PMC9199971.1/PMC9199971.1.pdf?md5=160d7780a5e40f9ccccebb92688c0fac,s3://pmc-oa-opendata/PMC9199971.1/PMC9199971.1.txt?md5=cf5cd6e4e5542592a952bd9da86106d8,2026-08-31T09:36:19+00:00
PMC8379190,33268824,no,,,,,,,,,,,,,,,,,2026-08-31T09:36:20+00:00
PMC8175453,33274833,yes,no,TDM,yes,no,no,1,33274833,10.1111/jnp.12235,Serial position effects in the Logical Memory Test: Loss of primacy predicts amyloid positivity,yes,no,yes,0,s3://pmc-oa-opendata/PMC8175453.1/PMC8175453.1.xml?md5=621a596b55da701ad11295bb3d12c92a,,s3://pmc-oa-opendata/PMC8175453.1/PMC8175453.1.txt?md5=d8bbde4c10295b038a4392483e1e0c92,2026-08-31T09:36:22+00:00
PMC8429397,33280069,yes,yes,CC BY,no,no,no,1,33280069,10.1007/s40520-020-01758-y,Cognitive reserve relates to executive functioning in the old–old,yes,yes,yes,1,s3://pmc-oa-opendata/PMC8429397.1/PMC8429397.1.xml?md5=3c08433b6840f24b9f159cc4c529f894,s3://pmc-oa-opendata/PMC8429397.1/PMC8429397.1.pdf?md5=91e5d353e383bdb23615c2699e9756fd,s3://pmc-oa-opendata/PMC8429397.1/PMC8429397.1.txt?md5=952f32e93d63aa31f05132ea029eafe8,2026-08-31T09:36:24+00:00
PMC8406647,33283221,no,,,,,,,,,,,,,,,,,2026-08-31T09:36:25+00:00
