pmcid,pmid,doi,title,license_code,is_retracted,is_manuscript,version,source_xml_url,resolved_url,expected_md5,actual_md5,md5_verified,filename,bytes,status,http_status,attempts,downloaded_at_utc,error
PMC7614331,36936539,10.56392/001c.36822,Persistent delirium in older hospital patients: an updated systematic review and meta-analysis,CC BY,no,yes,1,s3://pmc-oa-opendata/PMC7614331.1/PMC7614331.1.xml?md5=b4cdbee188f7e2f98a19249bc3dba0c1,https://pmc-oa-opendata.s3.amazonaws.com/PMC7614331.1/PMC7614331.1.xml,b4cdbee188f7e2f98a19249bc3dba0c1,b4cdbee188f7e2f98a19249bc3dba0c1,yes,PMC7614331.xml,99190,ok,200,1,2026-09-01T17:12:22+00:00,
PMC7614565,37223108,10.1007/s12652-020-01789-3,Diagnosis of cerebral microbleed via VGG and extreme learning machine trained by Gaussian map bat algorithm,CC BY,no,yes,1,s3://pmc-oa-opendata/PMC7614565.1/PMC7614565.1.xml?md5=2419218eaad420282c05bfca0dd5c847,https://pmc-oa-opendata.s3.amazonaws.com/PMC7614565.1/PMC7614565.1.xml,2419218eaad420282c05bfca0dd5c847,2419218eaad420282c05bfca0dd5c847,yes,PMC7614565.xml,106815,ok,200,1,2026-09-01T17:33:06+00:00,
PMC7614777,37248905,10.3233/JAD-230186,Advancing diagnostic certainty in Alzheimer’s disease: a synthesis of the diagnostic process,CC BY,no,yes,1,s3://pmc-oa-opendata/PMC7614777.1/PMC7614777.1.xml?md5=ce1c8126e10d2b899e45d1ee2a0bc682,https://pmc-oa-opendata.s3.amazonaws.com/PMC7614777.1/PMC7614777.1.xml,ce1c8126e10d2b899e45d1ee2a0bc682,ce1c8126e10d2b899e45d1ee2a0bc682,yes,PMC7614777.xml,96083,ok,200,1,2026-09-01T17:35:39+00:00,
PMC7615156,36709053,10.1016/S2468-2667(22)00258-4,"Uptake of invitations to a lung health check offering low-dose CT lung cancer screening among an ethnically and socioeconomically diverse population at risk of lung cancer in the UK (SUMMIT): a prospective, longitudinal cohort study",CC BY,no,no,2,s3://pmc-oa-opendata/PMC7615156.2/PMC7615156.2.xml?md5=2b6a68938a2e2a0c946a7821f3a4d013,https://pmc-oa-opendata.s3.amazonaws.com/PMC7615156.2/PMC7615156.2.xml,2b6a68938a2e2a0c946a7821f3a4d013,2b6a68938a2e2a0c946a7821f3a4d013,yes,PMC7615156.xml,123171,ok,200,1,2026-09-01T16:55:40+00:00,
PMC7615275,37694368,10.3233/JAD-230320,"A diagnostic test accuracy study investigating GP clinical impression and brief cognitive assessments for dementia in primary care, compared to specialised assessment",CC BY,no,yes,358,s3://pmc-oa-opendata/PMC7615275.358/PMC7615275.358.xml?md5=c1ac9f21b52d3c322b2b637692910e12,https://pmc-oa-opendata.s3.amazonaws.com/PMC7615275.358/PMC7615275.358.xml,c1ac9f21b52d3c322b2b637692910e12,c1ac9f21b52d3c322b2b637692910e12,yes,PMC7615275.xml,118954,ok,200,1,2026-09-01T18:10:01+00:00,
PMC7615574,37385025,10.1016/j.jns.2023.120715,"New cases of dementia are rising in elderly populations in Wales, UK",CC BY,no,yes,358,s3://pmc-oa-opendata/PMC7615574.358/PMC7615574.358.xml?md5=ab1376a0e7622e3a7ff068157b6046c6,https://pmc-oa-opendata.s3.amazonaws.com/PMC7615574.358/PMC7615574.358.xml,ab1376a0e7622e3a7ff068157b6046c6,ab1376a0e7622e3a7ff068157b6046c6,yes,PMC7615574.xml,99250,ok,200,1,2026-09-01T17:45:20+00:00,
PMC7615783,38559705,10.1016/j.jksuci.2023.101618,CsAGP: Detecting Alzheimer’s disease from multimodal images via dual-transformer with cross-attention and graph pooling,CC BY,no,yes,358,s3://pmc-oa-opendata/PMC7615783.358/PMC7615783.358.xml?md5=196115102c802f6623b83447b5fd8d43,https://pmc-oa-opendata.s3.amazonaws.com/PMC7615783.358/PMC7615783.358.xml,196115102c802f6623b83447b5fd8d43,196115102c802f6623b83447b5fd8d43,yes,PMC7615783.xml,170003,ok,200,1,2026-09-01T19:19:25+00:00,
PMC7615979,38584319,10.1192/bjp.2024.25,"Associations between multimorbidity and neuropathology in dementia: a case for considering functional cognitive disorders, psychiatric illness, and dementia mimics",CC BY,no,yes,358,s3://pmc-oa-opendata/PMC7615979.358/PMC7615979.358.xml?md5=2b220369f1a86ee4de752b1e53042a0a,https://pmc-oa-opendata.s3.amazonaws.com/PMC7615979.358/PMC7615979.358.xml,2b220369f1a86ee4de752b1e53042a0a,2b220369f1a86ee4de752b1e53042a0a,yes,PMC7615979.xml,83580,ok,200,1,2026-09-01T19:21:22+00:00,
PMC7615981,38105553,10.1192/bjp.2023.159,Associations of an Individual’s Need For Cognition with Structural Brain Damage and Cognitive Functioning/Impairment: The Maastricht Study,TDM,no,yes,358,s3://pmc-oa-opendata/PMC7615981.358/PMC7615981.358.xml?md5=109bb0eb1fb2e53443a53d5dcedd8869,https://pmc-oa-opendata.s3.amazonaws.com/PMC7615981.358/PMC7615981.358.xml,109bb0eb1fb2e53443a53d5dcedd8869,109bb0eb1fb2e53443a53d5dcedd8869,yes,PMC7615981.xml,118645,ok,200,1,2026-09-01T18:41:57+00:00,
PMC7616172,36378750,10.1126/scisignal.abm3720,M1 muscarinic receptor activation reduces the molecular pathology and slows the progression of prion-mediated neurodegenerative disease,CC BY,no,yes,1,s3://pmc-oa-opendata/PMC7616172.1/PMC7616172.1.xml?md5=b3c6657eff5f9b94546f988fa994ae86,https://pmc-oa-opendata.s3.amazonaws.com/PMC7616172.1/PMC7616172.1.xml,b3c6657eff5f9b94546f988fa994ae86,b3c6657eff5f9b94546f988fa994ae86,yes,PMC7616172.xml,149776,ok,200,1,2026-09-01T16:32:59+00:00,
PMC7616177,34822784,10.1016/j.cell.2021.11.001,From structure to clinic: Design of a muscarinic M1 receptor agonist with the potential to treat Alzheimer’s disease,CC BY,no,yes,1,s3://pmc-oa-opendata/PMC7616177.1/PMC7616177.1.xml?md5=6414c3026072eeb6bba6116ebb05b404,https://pmc-oa-opendata.s3.amazonaws.com/PMC7616177.1/PMC7616177.1.xml,6414c3026072eeb6bba6116ebb05b404,6414c3026072eeb6bba6116ebb05b404,yes,PMC7616177.xml,284685,ok,200,1,2026-09-01T14:58:36+00:00,
PMC7616492,38659294,10.1017/S1041610224000474,Personality Assessment in Nursing Home Residents With Mental and Physical Multimorbidity: Two Informant Perspectives,TDM,no,yes,1,s3://pmc-oa-opendata/PMC7616492.1/PMC7616492.1.xml?md5=00ac63739c7ce9e713dbc00153bb6e01,https://pmc-oa-opendata.s3.amazonaws.com/PMC7616492.1/PMC7616492.1.xml,00ac63739c7ce9e713dbc00153bb6e01,00ac63739c7ce9e713dbc00153bb6e01,yes,PMC7616492.xml,120345,ok,200,1,2026-09-01T19:26:34+00:00,
PMC7616546,39417728,10.1017/S0144686X22001362,Good Practice in Needs-based Post-diagnostic Support for People with Young Onset Dementia: Findings from the Angela Project,TDM,no,yes,1,s3://pmc-oa-opendata/PMC7616546.1/PMC7616546.1.xml?md5=c87e62bc7d4bfcc36ff7f6126a72e320,https://pmc-oa-opendata.s3.amazonaws.com/PMC7616546.1/PMC7616546.1.xml,c87e62bc7d4bfcc36ff7f6126a72e320,c87e62bc7d4bfcc36ff7f6126a72e320,yes,PMC7616546.xml,133777,ok,200,1,2026-09-01T20:28:52+00:00,
PMC7616849,38663994,10.1136/jnnp-2023-332969,Genetics impact risk of Alzheimer’s disease through mechanisms modulating structural brain morphology in late life,CC BY,no,no,2,s3://pmc-oa-opendata/PMC7616849.2/PMC7616849.2.xml?md5=b5444a13c5b0d21602255c5457306805,https://pmc-oa-opendata.s3.amazonaws.com/PMC7616849.2/PMC7616849.2.xml,b5444a13c5b0d21602255c5457306805,b5444a13c5b0d21602255c5457306805,yes,PMC7616849.xml,153151,ok,200,1,2026-09-01T19:26:45+00:00,
PMC7616996,37303116,10.1002/alz.13161,Predicting Amyloid-beta Pathology in the General Population,TDM,no,yes,1,s3://pmc-oa-opendata/PMC7616996.1/PMC7616996.1.xml?md5=bced334bacced896fdaf14d0c8a5aa34,https://pmc-oa-opendata.s3.amazonaws.com/PMC7616996.1/PMC7616996.1.xml,bced334bacced896fdaf14d0c8a5aa34,bced334bacced896fdaf14d0c8a5aa34,yes,PMC7616996.xml,147022,ok,200,1,2026-09-01T17:39:22+00:00,
PMC7617257,40086903,10.1016/j.inpsyc.2024.100009,Associations of depressive symptoms and cortisol with cognitive performance among memory clinic patients,TDM,no,yes,1,s3://pmc-oa-opendata/PMC7617257.1/PMC7617257.1.xml?md5=225bdaa985c8936ae960f0e32a03ae63,https://pmc-oa-opendata.s3.amazonaws.com/PMC7617257.1/PMC7617257.1.xml,225bdaa985c8936ae960f0e32a03ae63,225bdaa985c8936ae960f0e32a03ae63,yes,PMC7617257.xml,193467,ok,200,1,2026-09-01T21:43:10+00:00,
PMC7617421,39956979,10.1177/13872877251319353,Cultural variation in trust and acceptability of artificial intelligence diagnostics for dementia,CC BY,no,no,2,s3://pmc-oa-opendata/PMC7617421.2/PMC7617421.2.xml?md5=6182a378f3d0bc758237bf7ac848d08b,https://pmc-oa-opendata.s3.amazonaws.com/PMC7617421.2/PMC7617421.2.xml,6182a378f3d0bc758237bf7ac848d08b,6182a378f3d0bc758237bf7ac848d08b,yes,PMC7617421.xml,28863,ok,200,1,2026-09-01T21:15:25+00:00,
PMC7618016,40822027,10.1017/S1041610223001783,Insight into impaired social functioning in dementia,CC BY,no,yes,1,s3://pmc-oa-opendata/PMC7618016.1/PMC7618016.1.xml?md5=a3d171e0b4e1e81340a25e3d74425376,https://pmc-oa-opendata.s3.amazonaws.com/PMC7618016.1/PMC7618016.1.xml,a3d171e0b4e1e81340a25e3d74425376,a3d171e0b4e1e81340a25e3d74425376,yes,PMC7618016.xml,13383,ok,200,1,2026-09-01T22:51:59+00:00,
PMC7618018,39031360,10.3233/JAD-240311,Awareness of social functioning in people with dementia and its association with dementia severity: multi-centre cross-sectional study,CC BY,no,yes,1,s3://pmc-oa-opendata/PMC7618018.1/PMC7618018.1.xml?md5=d95490c12110fd0125a60c463f491077,https://pmc-oa-opendata.s3.amazonaws.com/PMC7618018.1/PMC7618018.1.xml,d95490c12110fd0125a60c463f491077,d95490c12110fd0125a60c463f491077,yes,PMC7618018.xml,113369,ok,200,1,2026-09-01T19:57:28+00:00,
PMC7618020,38837281,10.1002/gps.6112,Neural markers of reduced arousal and consciousness in mild cognitive impairment,CC BY,no,yes,1,s3://pmc-oa-opendata/PMC7618020.1/PMC7618020.1.xml?md5=75c5a06a7f70668047f73925db2a327f,https://pmc-oa-opendata.s3.amazonaws.com/PMC7618020.1/PMC7618020.1.xml,75c5a06a7f70668047f73925db2a327f,75c5a06a7f70668047f73925db2a327f,yes,PMC7618020.xml,116758,ok,200,1,2026-09-01T19:41:11+00:00,
PMC7618088,40771046,10.1017/S1355617725101197,Understanding Indirect Speech in Frontotemporal Dementia and Alzheimer’s Disease Dementia: Validation of the Hinting Task – Dutch Version (HT-NL),CC BY-NC-ND,no,yes,1,s3://pmc-oa-opendata/PMC7618088.1/PMC7618088.1.xml?md5=fb7d5eaf7da6d4a3934354b1acaf3da1,https://pmc-oa-opendata.s3.amazonaws.com/PMC7618088.1/PMC7618088.1.xml,fb7d5eaf7da6d4a3934354b1acaf3da1,fb7d5eaf7da6d4a3934354b1acaf3da1,yes,PMC7618088.xml,134285,ok,200,1,2026-09-01T22:47:07+00:00,
PMC7618856,39096931,10.1016/S2215-0366(24)00214-1,Cognitive and psychiatric symptom trajectories 2-3 years post-COVID-19 hospitalisation: a longitudinal prospective cohort study,CC BY,no,yes,1,s3://pmc-oa-opendata/PMC7618856.1/PMC7618856.1.xml?md5=937094b580462084fc6e81dcf3099c0d,https://pmc-oa-opendata.s3.amazonaws.com/PMC7618856.1/PMC7618856.1.xml,937094b580462084fc6e81dcf3099c0d,937094b580462084fc6e81dcf3099c0d,yes,PMC7618856.xml,123047,ok,200,1,2026-09-01T20:04:09+00:00,
PMC7618942,34329959,10.1016/j.neuroimage.2021.118304,Functional co-activation of the default mode network in APOE ε4-carriers: A replication study,CC BY,no,yes,1,s3://pmc-oa-opendata/PMC7618942.1/PMC7618942.1.xml?md5=be9a0991e1d1c22b8c4644a8593b1b78,https://pmc-oa-opendata.s3.amazonaws.com/PMC7618942.1/PMC7618942.1.xml,be9a0991e1d1c22b8c4644a8593b1b78,be9a0991e1d1c22b8c4644a8593b1b78,yes,PMC7618942.xml,180105,ok,200,1,2026-09-01T14:38:18+00:00,
PMC7619077,40788702,10.1037/pag0000926,Continuous Updating via Self-Motion Compensates for Weak Allocentric Spatial Memory in Aging,CC BY,no,yes,1,s3://pmc-oa-opendata/PMC7619077.1/PMC7619077.1.xml?md5=f0b0d3ec376175961427861ce5e2278d,https://pmc-oa-opendata.s3.amazonaws.com/PMC7619077.1/PMC7619077.1.xml,f0b0d3ec376175961427861ce5e2278d,f0b0d3ec376175961427861ce5e2278d,yes,PMC7619077.xml,148529,ok,200,1,2026-09-01T22:48:43+00:00,
PMC7619195,41775023,10.1016/j.socscimed.2026.119102,Self-reporting quality of life in mild-to-moderate Alzheimer’s disease and Lewy body dementia: Comparing capability and health-focused measures using response process validation,CC BY,no,yes,1,s3://pmc-oa-opendata/PMC7619195.1/PMC7619195.1.xml?md5=0f234e9bd08dc8170695ccf453c75486,https://pmc-oa-opendata.s3.amazonaws.com/PMC7619195.1/PMC7619195.1.xml,0f234e9bd08dc8170695ccf453c75486,0f234e9bd08dc8170695ccf453c75486,yes,PMC7619195.xml,149066,ok,200,1,2026-09-02T00:45:13+00:00,
PMC7748409,32515603,10.1080/13607863.2020.1771541,Caregiver “objective attitude” toward patients with neurodegenerative disease: Consequences for caregiver strain and relationship closeness,TDM,no,yes,1,s3://pmc-oa-opendata/PMC7748409.1/PMC7748409.1.xml?md5=410993e0decf6a8248b8c1133b8ee0b7,https://pmc-oa-opendata.s3.amazonaws.com/PMC7748409.1/PMC7748409.1.xml,410993e0decf6a8248b8c1133b8ee0b7,410993e0decf6a8248b8c1133b8ee0b7,yes,PMC7748409.xml,84070,ok,200,1,2026-09-01T14:28:38+00:00,
PMC7765738,32594886,10.1080/13854046.2020.1781933,Practice effects in Mild Cognitive Impairment: A validation of Calamia et al. (2012),TDM,no,yes,1,s3://pmc-oa-opendata/PMC7765738.1/PMC7765738.1.xml?md5=c8548e12d1067738b9cfd980537fc428,https://pmc-oa-opendata.s3.amazonaws.com/PMC7765738.1/PMC7765738.1.xml,c8548e12d1067738b9cfd980537fc428,c8548e12d1067738b9cfd980537fc428,yes,PMC7765738.xml,83917,ok,200,1,2026-09-01T14:28:46+00:00,
PMC7775330,32608300,10.1177/0733464820934683,Effectiveness of “Reducing Disability in Alzheimer’s Disease” among dyads with moderate dementia,TDM,no,yes,1,s3://pmc-oa-opendata/PMC7775330.1/PMC7775330.1.xml?md5=9a006eef8f6ffdc9302e2566824aa692,https://pmc-oa-opendata.s3.amazonaws.com/PMC7775330.1/PMC7775330.1.xml,9a006eef8f6ffdc9302e2566824aa692,9a006eef8f6ffdc9302e2566824aa692,yes,PMC7775330.xml,106749,ok,200,1,2026-09-01T14:28:47+00:00,
PMC7785685,32632205,10.1038/s41380-020-0824-3,MicroRNA-195 rescues ApoE4-induced cognitive deficits and lysosomal defects in Alzheimer’s disease pathogenesis,CC BY,no,no,2,s3://pmc-oa-opendata/PMC7785685.2/PMC7785685.2.xml?md5=9097547fd7f75f056bd59b6087aa9fa9,https://pmc-oa-opendata.s3.amazonaws.com/PMC7785685.2/PMC7785685.2.xml,9097547fd7f75f056bd59b6087aa9fa9,9097547fd7f75f056bd59b6087aa9fa9,yes,PMC7785685.xml,173997,ok,200,1,2026-09-01T14:28:50+00:00,
PMC7793388,33420609,10.1007/s40615-020-00960-y,"COVID-19 Hospitalization by Race and Ethnicity: Association with Chronic Conditions Among Medicare Beneficiaries, January 1–September 30, 2020",,no,no,1,s3://pmc-oa-opendata/PMC7793388.1/PMC7793388.1.xml?md5=ca12b0760e7fda3160aba293db2be3ef,https://pmc-oa-opendata.s3.amazonaws.com/PMC7793388.1/PMC7793388.1.xml,ca12b0760e7fda3160aba293db2be3ef,ca12b0760e7fda3160aba293db2be3ef,yes,PMC7793388.xml,75046,ok,200,1,2026-09-01T14:29:40+00:00,
PMC7794099,32641180,10.1017/S1041610220001143,Genome-wide screen to identify genetic loci associated with cognitive decline in late-life depression,TDM,no,yes,1,s3://pmc-oa-opendata/PMC7794099.1/PMC7794099.1.xml?md5=2008217d802cc4a16720dd1c1c63ca4d,https://pmc-oa-opendata.s3.amazonaws.com/PMC7794099.1/PMC7794099.1.xml,2008217d802cc4a16720dd1c1c63ca4d,2008217d802cc4a16720dd1c1c63ca4d,yes,PMC7794099.xml,88297,ok,200,1,2026-09-01T14:28:52+00:00,
PMC7855081,32721906,10.1109/TCYB.2020.3005859,Attention-Guided Hybrid Network for Dementia Diagnosis With Structural MR Images,TDM,no,yes,1,s3://pmc-oa-opendata/PMC7855081.1/PMC7855081.1.xml?md5=a37ffb8c6ce22162737b95db17b1667f,https://pmc-oa-opendata.s3.amazonaws.com/PMC7855081.1/PMC7855081.1.xml,a37ffb8c6ce22162737b95db17b1667f,a37ffb8c6ce22162737b95db17b1667f,yes,PMC7855081.xml,132344,ok,200,1,2026-09-01T14:28:55+00:00,
PMC7867665,32763848,10.1109/TPAMI.2020.3013433,Performing Group Difference Testing on Graph Structured Data from GANs: Analysis and Applications in Neuroimaging,TDM,no,yes,1,s3://pmc-oa-opendata/PMC7867665.1/PMC7867665.1.xml?md5=cc0c72f4aa34351c70cab30c62be543f,https://pmc-oa-opendata.s3.amazonaws.com/PMC7867665.1/PMC7867665.1.xml,cc0c72f4aa34351c70cab30c62be543f,cc0c72f4aa34351c70cab30c62be543f,yes,PMC7867665.xml,204739,ok,200,1,2026-09-01T14:28:58+00:00,
PMC7884062,33589778,10.1038/s41386-021-00978-8,Frequency and profile of objective cognitive deficits in hospitalized patients recovering from COVID-19,,no,no,2,s3://pmc-oa-opendata/PMC7884062.2/PMC7884062.2.xml?md5=d12cf4b0481917f23825dae147c2dffa,https://pmc-oa-opendata.s3.amazonaws.com/PMC7884062.2/PMC7884062.2.xml,d12cf4b0481917f23825dae147c2dffa,d12cf4b0481917f23825dae147c2dffa,yes,PMC7884062.xml,78361,ok,200,1,2026-09-01T14:30:14+00:00,
PMC7891467,33604822,10.1007/s40520-021-01806-1,Delirium in your house: a survey during General Practitioner-programmed home visits,CC BY,no,no,2,s3://pmc-oa-opendata/PMC7891467.2/PMC7891467.2.xml?md5=e597ea613d808855184fd3c4a19c5b71,https://pmc-oa-opendata.s3.amazonaws.com/PMC7891467.2/PMC7891467.2.xml,e597ea613d808855184fd3c4a19c5b71,e597ea613d808855184fd3c4a19c5b71,yes,PMC7891467.xml,56342,ok,200,1,2026-09-01T14:30:19+00:00,
PMC7909751,32819188,10.1080/13854046.2020.1807058,Validation of one-year reliable change in the RBANS for community-dwelling older adults with amnestic Mild Cognitive Impairment,TDM,no,yes,1,s3://pmc-oa-opendata/PMC7909751.1/PMC7909751.1.xml?md5=8e03f5c3102a83b2af7d693331832acb,https://pmc-oa-opendata.s3.amazonaws.com/PMC7909751.1/PMC7909751.1.xml,8e03f5c3102a83b2af7d693331832acb,8e03f5c3102a83b2af7d693331832acb,yes,PMC7909751.xml,178996,ok,200,1,2026-09-01T14:29:01+00:00,
PMC7925698,32883179,10.1080/13854046.2020.1812724,"Recognition subtests for the Repeatable Battery for the Assessment of Neuropsychological Status: Preliminary data in cognitively intact older adults, amnestic Mild Cognitive Impairment, and Alzheimer’s disease",TDM,no,yes,1,s3://pmc-oa-opendata/PMC7925698.1/PMC7925698.1.xml?md5=831858525e85d5140c9a984850aa71e4,https://pmc-oa-opendata.s3.amazonaws.com/PMC7925698.1/PMC7925698.1.xml,831858525e85d5140c9a984850aa71e4,831858525e85d5140c9a984850aa71e4,yes,PMC7925698.xml,86438,ok,200,1,2026-09-01T14:29:02+00:00,
PMC7927761,33660158,10.1007/s10072-021-05129-x,Inter-individual variability in disease expression: the Tudor-Churchill spectrum,,no,no,1,s3://pmc-oa-opendata/PMC7927761.1/PMC7927761.1.xml?md5=0394a8d6314d372013147d2c56434b0b,https://pmc-oa-opendata.s3.amazonaws.com/PMC7927761.1/PMC7927761.1.xml,0394a8d6314d372013147d2c56434b0b,0394a8d6314d372013147d2c56434b0b,yes,PMC7927761.xml,40142,ok,200,1,2026-09-01T14:30:46+00:00,
PMC7940454,32901518,10.1080/13825585.2020.1817306,Assessing Within-Task Verbal Fluency Performance: The Utility of Individual Time Intervals in Predicting Incident Mild Cognitive Impairment,TDM,no,yes,1,s3://pmc-oa-opendata/PMC7940454.1/PMC7940454.1.xml?md5=54008618307690180c9c17ad8000b704,https://pmc-oa-opendata.s3.amazonaws.com/PMC7940454.1/PMC7940454.1.xml,54008618307690180c9c17ad8000b704,54008618307690180c9c17ad8000b704,yes,PMC7940454.xml,126812,ok,200,1,2026-09-01T14:29:04+00:00,
PMC7956907,33127308,10.1016/j.acra.2020.07.039,Bilateral Distance Partition of Periventricular and Deep White Matter Hyperintensities: Performance of the Method in the Aging Brain,TDM,no,yes,1,s3://pmc-oa-opendata/PMC7956907.1/PMC7956907.1.xml?md5=88f22f62e151f698f05d1d62d1af0920,https://pmc-oa-opendata.s3.amazonaws.com/PMC7956907.1/PMC7956907.1.xml,88f22f62e151f698f05d1d62d1af0920,88f22f62e151f698f05d1d62d1af0920,yes,PMC7956907.xml,95291,ok,200,1,2026-09-01T14:29:19+00:00,
PMC7962078,33725290,10.1007/s12028-021-01220-5,Toxic Metabolic Encephalopathy in Hospitalized Patients with COVID-19,,no,no,1,s3://pmc-oa-opendata/PMC7962078.1/PMC7962078.1.xml?md5=d2a8ec0ffed0907d60bc8b01d466b802,https://pmc-oa-opendata.s3.amazonaws.com/PMC7962078.1/PMC7962078.1.xml,d2a8ec0ffed0907d60bc8b01d466b802,d2a8ec0ffed0907d60bc8b01d466b802,yes,PMC7962078.xml,153865,ok,200,1,2026-09-01T14:31:03+00:00,
