canonical_document_id,duplicate_document_id,duplicate_reason,similarity_method,similarity_score,decision
PMC2659377.1,PMC2659377.2,pmid,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC2671729.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC2671738.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC2684513.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC2684515.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC2685224.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC2685227.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC2685228.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC2685259.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC2685260.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC2685273.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC2685276.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC2687852.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC2688341.1,doi,exact_key,1.0,recorded_not_deleted
PMC2706981.1,PMC2706981.2,pmid,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC2716788.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC2717816.1,doi,exact_key,1.0,recorded_not_deleted
PMC2723671.1,PMC2723671.2,pmid,exact_key,1.0,recorded_not_deleted
PMC2730481.1,PMC2730481.2,pmid,exact_key,1.0,recorded_not_deleted
PMC2730483.1,PMC2730483.2,pmid,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC2737209.1,doi,exact_key,1.0,recorded_not_deleted
PMC2744737.1,PMC2744737.2,pmid,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC2765469.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC2765769.1,doi,exact_key,1.0,recorded_not_deleted
PMC2769065.1,PMC2769065.2,pmid,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC2776535.1,doi,exact_key,1.0,recorded_not_deleted
PMC2790309.1,PMC2790309.2,pmid,exact_key,1.0,recorded_not_deleted
PMC2723671.1,PMC2798986.1,title_year,exact_key,1.0,recorded_not_deleted
PMC2723671.1,PMC2798986.2,title_year,exact_key,1.0,recorded_not_deleted
PMC2816237.1,PMC2816237.2,pmid,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC2817936.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC2831786.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC2846153.1,doi,exact_key,1.0,recorded_not_deleted
PMC2896722.1,PMC2896722.2,pmid,exact_key,1.0,recorded_not_deleted
PMC2909133.1,PMC2909133.2,pmid,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC2950957.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC2953659.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC2958350.1,doi,exact_key,1.0,recorded_not_deleted
PMC2962809.1,PMC2962809.2,pmid,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC2962845.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC2963846.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC2967096.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC2970774.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC2972451.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC2978467.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC2980982.1,doi,exact_key,1.0,recorded_not_deleted
PMC2987528.1,PMC2987528.2,pmid,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3008796.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3010606.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3010608.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3011315.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3011349.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3012328.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3013341.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3017798.1,doi,exact_key,1.0,recorded_not_deleted
PMC3026935.1,PMC3026935.2,pmid,exact_key,1.0,recorded_not_deleted
PMC3033336.1,PMC3033336.2,pmid,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3038527.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3038528.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3038529.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3038530.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3038531.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3038532.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3038533.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3038534.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3038535.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3038536.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3038538.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3038539.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3038540.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3038541.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3038542.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3038543.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3038544.1,doi,exact_key,1.0,recorded_not_deleted
PMC3044888.2,PMC3044888.3,pmid,exact_key,1.0,recorded_not_deleted
PMC3047010.1,PMC3047010.2,pmid,exact_key,1.0,recorded_not_deleted
PMC3060651.1,PMC3060651.2,pmid,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3075518.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3082789.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3093095.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3093163.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3093628.1,doi,exact_key,1.0,recorded_not_deleted
PMC3102807.1,PMC3102807.2,pmid,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3121276.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3129106.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3134937.2,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3152156.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3155215.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3178862.1,doi,exact_key,1.0,recorded_not_deleted
PMC3181413.1,PMC3181413.2,pmid,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3181708.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3181803.1,doi,exact_key,1.0,recorded_not_deleted
PMC3198134.1,PMC3198134.2,pmid,exact_key,1.0,recorded_not_deleted
PMC3253158.1,PMC3253158.2,pmid,exact_key,1.0,recorded_not_deleted
PMC3260741.1,PMC3260741.2,pmid,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3263076.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3281251.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3290875.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3306093.1,doi,exact_key,1.0,recorded_not_deleted
PMC3311825.1,PMC3311825.2,pmid,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3321665.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3324355.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3339034.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3347543.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3347594.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3371965.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3389864.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3389871.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3391877.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3392058.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3395955.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3398637.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3399311.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3429801.1,doi,exact_key,1.0,recorded_not_deleted
PMC3406579.1,PMC3461365.1,title_year,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3470275.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3481764.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3488815.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3501278.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3501280.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3510887.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3516890.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3516891.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3523427.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3525042.1,doi,exact_key,1.0,recorded_not_deleted
PMC3545483.1,PMC3545483.2,pmid,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3556769.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3558134.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3558160.1,doi,exact_key,1.0,recorded_not_deleted
PMC3560265.1,PMC3560265.2,pmid,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3574784.1,doi,exact_key,1.0,recorded_not_deleted
PMC3585949.1,PMC3585949.2,pmid,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3586880.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3586912.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3592605.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3598181.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3600860.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3604851.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3614590.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3615259.1,doi,exact_key,1.0,recorded_not_deleted
PMC3635594.1,PMC3635594.2,pmid,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3635823.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3637907.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3646228.1,doi,exact_key,1.0,recorded_not_deleted
PMC3647215.1,PMC3647215.2,pmid,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3652539.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3655232.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3670441.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3670442.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3678218.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3678219.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3684729.1,doi,exact_key,1.0,recorded_not_deleted
PMC3687670.1,PMC3687670.2,pmid,exact_key,1.0,recorded_not_deleted
PMC3689908.1,PMC3689908.2,pmid,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3696964.1,doi,exact_key,1.0,recorded_not_deleted
PMC3722462.1,PMC3722462.2,pmid,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3732914.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3734692.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3743309.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3743312.1,doi,exact_key,1.0,recorded_not_deleted
PMC3752684.1,PMC3752684.2,pmid,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3757590.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3769611.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3775162.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3786451.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3793498.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3813081.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3813246.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3813291.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3829244.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3829259.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3829285.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3848070.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3860441.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3860444.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3868059.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3868063.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3874090.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3897065.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3920501.1,doi,exact_key,1.0,recorded_not_deleted
PMC3928509.1,PMC3928509.2,pmid,exact_key,1.0,recorded_not_deleted
PMC3935363.1,PMC3935363.2,pmid,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3939743.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3939747.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3939978.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3940007.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3943077.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3959526.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3968358.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3977069.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3985256.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3994724.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC3999867.1,doi,exact_key,1.0,recorded_not_deleted
PMC4001800.1,PMC4001800.2,pmid,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC4017533.1,doi,exact_key,1.0,recorded_not_deleted
PMC4025599.1,PMC4025599.2,pmid,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC4026014.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC4026209.1,doi,exact_key,1.0,recorded_not_deleted
PMC4026422.1,PMC4026422.2,pmid,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC4034296.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC4043611.1,doi,exact_key,1.0,recorded_not_deleted
PMC4046113.1,PMC4046113.2,pmid,exact_key,1.0,recorded_not_deleted
PMC4083380.1,PMC4083380.2,pmid,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC4087187.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC4087188.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC4092085.1,doi,exact_key,1.0,recorded_not_deleted
PMC4107377.1,PMC4107377.2,pmid,exact_key,1.0,recorded_not_deleted
PMC4107380.1,PMC4107380.2,pmid,exact_key,1.0,recorded_not_deleted
PMC4113976.1,PMC4113976.2,pmid,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC4119361.1,doi,exact_key,1.0,recorded_not_deleted
PMC4143600.1,PMC4143600.2,pmid,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC4153527.1,doi,exact_key,1.0,recorded_not_deleted
PMC4153975.1,PMC4153975.2,pmid,exact_key,1.0,recorded_not_deleted
PMC4161670.1,PMC4161670.2,pmid,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC4164999.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC4169779.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC4170176.1,doi,exact_key,1.0,recorded_not_deleted
PMC4175176.1,PMC4175176.2,pmid,exact_key,1.0,recorded_not_deleted
PMC4193930.1,PMC4193930.2,pmid,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC4194475.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC4194486.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC4194508.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC4194604.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC4194605.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC4194884.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC4194905.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC4202556.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC4202560.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC4202574.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC4202605.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC4204502.1,doi,exact_key,1.0,recorded_not_deleted
PMC4222357.1,PMC4222357.2,pmid,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC4225789.1,doi,exact_key,1.0,recorded_not_deleted
PMC4228759.1,PMC4228759.2,pmid,exact_key,1.0,recorded_not_deleted
PMC4231732.1,PMC4231732.2,pmid,exact_key,1.0,recorded_not_deleted
PMC4233957.1,PMC4233957.2,pmid,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC4241606.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC4251273.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC4251478.1,doi,exact_key,1.0,recorded_not_deleted
PMC4270044.1,PMC4270044.2,pmid,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC4277642.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC4293693.1,doi,exact_key,1.0,recorded_not_deleted
PMC4309639.1,PMC4309639.2,pmid,exact_key,1.0,recorded_not_deleted
PMC4309878.1,PMC4309878.2,pmid,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC4311288.1,doi,exact_key,1.0,recorded_not_deleted
PMC4312668.1,PMC4312668.2,pmid,exact_key,1.0,recorded_not_deleted
PMC4312919.1,PMC4312919.2,pmid,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC4316118.1,doi,exact_key,1.0,recorded_not_deleted
PMC4329991.1,PMC4329991.2,pmid,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC4333706.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC4336979.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC4345712.1,doi,exact_key,1.0,recorded_not_deleted
PMC4347662.1,PMC4347662.2,pmid,exact_key,1.0,recorded_not_deleted
PMC4348500.1,PMC4348500.2,pmid,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC4350380.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC4361502.1,doi,exact_key,1.0,recorded_not_deleted
PMC4362699.1,PMC4362699.2,pmid,exact_key,1.0,recorded_not_deleted
PMC4372685.1,PMC4372685.2,pmid,exact_key,1.0,recorded_not_deleted
PMC4383754.1,PMC4383754.2,pmid,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC4390748.1,doi,exact_key,1.0,recorded_not_deleted
PMC4427618.1,PMC4427618.2,pmid,exact_key,1.0,recorded_not_deleted
PMC4427622.1,PMC4427622.2,pmid,exact_key,1.0,recorded_not_deleted
PMC4430302.1,PMC4430302.2,pmid,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC4441897.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC4441938.1,doi,exact_key,1.0,recorded_not_deleted
PMC4442621.1,PMC4442621.2,pmid,exact_key,1.0,recorded_not_deleted
PMC4443433.1,PMC4443433.2,pmid,exact_key,1.0,recorded_not_deleted
PMC4461796.1,PMC4461796.2,pmid,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC4464466.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC4475657.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC4475662.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC4488926.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC4499066.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC4499569.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC4508336.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC4518109.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC4518125.1,doi,exact_key,1.0,recorded_not_deleted
PMC4523330.1,PMC4523330.2,pmid,exact_key,1.0,recorded_not_deleted
PMC4527161.1,PMC4527161.2,pmid,exact_key,1.0,recorded_not_deleted
PMC4554442.1,PMC4554442.2,pmid,exact_key,1.0,recorded_not_deleted
PMC4562684.1,PMC4562684.2,pmid,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC4564233.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC4564234.1,doi,exact_key,1.0,recorded_not_deleted
PMC4564439.1,PMC4564439.2,pmid,exact_key,1.0,recorded_not_deleted
PMC4565867.1,PMC4565867.2,pmid,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC4566907.1,doi,exact_key,1.0,recorded_not_deleted
PMC4568843.1,PMC4568843.2,pmid,exact_key,1.0,recorded_not_deleted
PMC4572059.1,PMC4572059.2,pmid,exact_key,1.0,recorded_not_deleted
PMC4580987.1,PMC4580987.2,pmid,exact_key,1.0,recorded_not_deleted
PMC4592368.1,PMC4592368.2,pmid,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC4599112.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC4605005.1,doi,exact_key,1.0,recorded_not_deleted
PMC4605983.1,PMC4605983.2,pmid,exact_key,1.0,recorded_not_deleted
PMC4608380.1,PMC4608380.2,pmid,exact_key,1.0,recorded_not_deleted
PMC4624223.1,PMC4624223.2,pmid,exact_key,1.0,recorded_not_deleted
PMC4629099.1,PMC4629099.2,pmid,exact_key,1.0,recorded_not_deleted
PMC4629103.1,PMC4629103.2,pmid,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC4636883.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC4645760.1,doi,exact_key,1.0,recorded_not_deleted
PMC4648968.1,PMC4648968.2,pmid,exact_key,1.0,recorded_not_deleted
PMC4657500.1,PMC4657500.2,pmid,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC4663655.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC4664597.1,doi,exact_key,1.0,recorded_not_deleted
PMC4672388.1,PMC4672388.2,pmid,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC4673948.1,doi,exact_key,1.0,recorded_not_deleted
PMC4674546.1,PMC4674546.2,pmid,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC4686572.1,doi,exact_key,1.0,recorded_not_deleted
PMC4687442.1,PMC4687442.2,pmid,exact_key,1.0,recorded_not_deleted
PMC4691234.1,PMC4691234.2,pmid,exact_key,1.0,recorded_not_deleted
PMC4700074.1,PMC4700074.2,pmid,exact_key,1.0,recorded_not_deleted
PMC4700096.1,PMC4700096.2,pmid,exact_key,1.0,recorded_not_deleted
PMC4700585.1,PMC4700585.2,pmid,exact_key,1.0,recorded_not_deleted
PMC4702291.1,PMC4702291.2,pmid,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC4704098.1,doi,exact_key,1.0,recorded_not_deleted
PMC4706845.1,PMC4706845.2,pmid,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC4715403.1,doi,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC4715423.1,doi,exact_key,1.0,recorded_not_deleted
PMC4718413.1,PMC4718413.2,pmid,exact_key,1.0,recorded_not_deleted
PMC4721948.1,PMC4721948.2,pmid,exact_key,1.0,recorded_not_deleted
PMC4722865.1,PMC4722865.2,pmid,exact_key,1.0,recorded_not_deleted
PMC544531.1,PMC4741270.1,doi,exact_key,1.0,recorded_not_deleted
PMC4750875.1,PMC4750875.2,pmid,exact_key,1.0,recorded_not_deleted
